"evalue","species","speciesShort","found","total","div","tag"
1e-09,"Kazachstania_naganishii","Knag",2,5997,85,"yeast"
1e-09,"Naumovozyma_castellii","Ncas",0,5997,66,"yeast"
1e-09,"Kluyveromyces_lactis","Klac",1,5997,112,"yeast"
1e-09,"Vanderwaltozyma_polyspora","Vpol",15,5997,93,"yeast"
1e-09,"Lachancea_thermotolerans","Lthe",1,5997,112,"yeast"
1e-09,"Naumovozyma_dairenensis","Ndai",0,5997,66,"yeast"
1e-09,"Saccharomyces_arboricola","Sarb",0,5997,15,"yeast"
1e-09,"Torulaspora_delbrueckii","Tdel",1,5997,97,"yeast"
1e-09,"Eremothecium_cymbalariae","Ecym",0,5997,112,"yeast"
1e-09,"Ashbya_aceri","Aace",0,5997,112,"yeast"
1e-09,"Candida_glabrata","Cgla",1,5997,97,"yeast"
1e-09,"Tetrapisispora_blattae","Tbla",1,5997,93,"yeast"
1e-09,"Zygosaccharomyces_rouxii","Zrou",8,5997,97,"yeast"
1e-09,"Eremothecium_gossypii","Egos",0,5997,112,"yeast"
1e-09,"Saccharomyces_kudriavzevii","Skud",0,5997,10,"yeast"
1e-09,"Tetrapisispora_phaffii","Tpha",1,5997,93,"yeast"
1e-09,"Kazachstania_africana","Kafr",3,5997,85,"yeast"
1,"Kazachstania_naganishii","Knag",2998,5997,85,"yeast"
1,"Naumovozyma_castellii","Ncas",2924,5997,66,"yeast"
1,"Kluyveromyces_lactis","Klac",3045,5997,112,"yeast"
1,"Vanderwaltozyma_polyspora","Vpol",2997,5997,93,"yeast"
1,"Lachancea_thermotolerans","Lthe",2902,5997,112,"yeast"
1,"Naumovozyma_dairenensis","Ndai",2889,5997,66,"yeast"
1,"Saccharomyces_arboricola","Sarb",3013,5997,15,"yeast"
1,"Torulaspora_delbrueckii","Tdel",2959,5997,97,"yeast"
1,"Eremothecium_cymbalariae","Ecym",2957,5997,112,"yeast"
1,"Ashbya_aceri","Aace",2954,5997,112,"yeast"
1,"Candida_glabrata","Cgla",3050,5997,97,"yeast"
1,"Tetrapisispora_blattae","Tbla",2947,5997,93,"yeast"
1,"Zygosaccharomyces_rouxii","Zrou",2952,5997,97,"yeast"
1,"Eremothecium_gossypii","Egos",2878,5997,112,"yeast"
1,"Saccharomyces_kudriavzevii","Skud",2821,5997,10,"yeast"
1,"Tetrapisispora_phaffii","Tpha",3076,5997,93,"yeast"
1,"Kazachstania_africana","Kafr",3019,5997,85,"yeast"
1e-06,"Kazachstania_naganishii","Knag",5,5997,85,"yeast"
1e-06,"Naumovozyma_castellii","Ncas",1,5997,66,"yeast"
1e-06,"Kluyveromyces_lactis","Klac",1,5997,112,"yeast"
1e-06,"Vanderwaltozyma_polyspora","Vpol",17,5997,93,"yeast"
1e-06,"Lachancea_thermotolerans","Lthe",5,5997,112,"yeast"
1e-06,"Naumovozyma_dairenensis","Ndai",1,5997,66,"yeast"
1e-06,"Saccharomyces_arboricola","Sarb",2,5997,15,"yeast"
1e-06,"Torulaspora_delbrueckii","Tdel",2,5997,97,"yeast"
1e-06,"Eremothecium_cymbalariae","Ecym",3,5997,112,"yeast"
1e-06,"Ashbya_aceri","Aace",1,5997,112,"yeast"
1e-06,"Candida_glabrata","Cgla",3,5997,97,"yeast"
1e-06,"Tetrapisispora_blattae","Tbla",5,5997,93,"yeast"
