"Gene_name"	Gene_ID
"JYalpha"	FBgn0267363
"PlexB"	FBgn0025740
"ci"	FBgn0004859
"RpS3A"	FBgn0017545
"pan"	FBgn0085432
"Ank"	FBgn0011747
"CG32000"	FBgn0052000
"CG32006"	FBgn0052006
"CG31997"	FBgn0051997
"CG33978"	FBgn0053978
"Arl4"	FBgn0039889
"CG2316"	FBgn0039890
"CG31998"	FBgn0051998
"Crk"	FBgn0024811
"CG31999"	FBgn0051999
"yellow-h"	FBgn0039896
"CG1674"	FBgn0039897
"dpr7"	FBgn0053481
"RhoGAP102A"	FBgn0259216
"NfI"	FBgn0042696
"Syt7"	FBgn0039900
"Rad23"	FBgn0026777
"Zip102B"	FBgn0039902
"CG32850"	FBgn0052850
"PMCA"	FBgn0259214
"Hcf"	FBgn0039904
"dati"	FBgn0262636
"lgs"	FBgn0039907
"CaMKI"	FBgn0016126
"bip2"	FBgn0026262
"CG33941"	FBgn0262731
"Asator"	FBgn0039908
"zfh2"	FBgn0004607
"Thd1"	FBgn0026869
"Pur-alpha"	FBgn0022361
"ND-49"	FBgn0039909
"Ephrin"	FBgn0040324
"CG1909"	FBgn0039911
"onecut"	FBgn0028996
"Eph"	FBgn0025936
"mav"	FBgn0039914
"Gat"	FBgn0039915
"Ekar"	FBgn0039916
"gw"	FBgn0051992
"Slip1"	FBgn0024728
"CG11360"	FBgn0039920
"myo"	FBgn0026199
"ey"	FBgn0005558
"bt"	FBgn0005666
"MED26"	FBgn0039923
"Sox102F"	FBgn0039938
"fd102C"	FBgn0039937
"Gyf"	FBgn0039936
"unc-13"	FBgn0025726
"eIF4G"	FBgn0023213
"mGluR"	FBgn0019985
"4E-T"	FBgn0052016
"fuss"	FBgn0039932
"toy"	FBgn0019650
"PlexA"	FBgn0025741
"CG11077"	FBgn0039930
"CG11076"	FBgn0039929
"ATPsynbeta"	FBgn0010217
"CaMKII"	FBgn0264607
"Zyx"	FBgn0011642
"apolpp"	FBgn0087002
"Actbeta"	FBgn0024913
"sv"	FBgn0005561
"Cals"	FBgn0039928
"Arf102F"	FBgn0013749
"CG11155"	FBgn0039927
"CG32017"	FBgn0052017
"Kif3C"	FBgn0039925
"pho"	FBgn0002521
"CG33521"	FBgn0250819
"PIP4K"	FBgn0039924
"Mitf"	FBgn0263112
"Dyrk3"	FBgn0027101
"Cadps"	FBgn0053653
"CG17636"	FBgn0025837
"RhoGAP1A"	FBgn0025836
"tyn"	FBgn0029128
"CG17707"	FBgn0025835
"CG3038"	FBgn0040373
"G9a"	FBgn0040372
"CG42376"	FBgn0259722
"cin"	FBgn0000316
"CG13377"	FBgn0261446
"CG13376"	FBgn0029518
"ewg"	FBgn0005427
"CG3777"	FBgn0024989
"CG13375"	FBgn0040370
"CG12470"	FBgn0040371
"Or1a"	FBgn0029521
"CG32816"	FBgn0052816
"CG43181"	FBgn0262810
"CG43182"	FBgn0262811
"y"	FBgn0004034
"ac"	FBgn0000022
"sc"	FBgn0004170
"l(1)sc"	FBgn0002561
"pcl"	FBgn0011822
"ase"	FBgn0000137
"Cyp4g1"	FBgn0010019
"ebo"	FBgn0266572
"CG13373"	FBgn0029522
"CG32817"	FBgn0052817
"CG3176"	FBgn0029524
"CG18273"	FBgn0029525
"CG3156"	FBgn0023536
"CG17896"	FBgn0023537
"CG17778"	FBgn0023534
"svr"	FBgn0004648
"elav"	FBgn0260400
"arg"	FBgn0023535
"CG4293"	FBgn0024983
"Appl"	FBgn0000108
"vnd"	FBgn0261930
"CG13366"	FBgn0025633
"CG13365"	FBgn0029529
"Vsp37A"	FBgn0016038
"CG13369"	FBgn0025640
"CG13364"	FBgn0026879
"CG17829"	FBgn0025635
"RpL36"	FBgn0002579
"l(1)1Bi"	FBgn0001341
"Dredd"	FBgn0020381
"su(sable)"	FBgn0003575
"CG13367"	FBgn0025634
"Roc1a"	FBgn0025638
"Hmt4-20"	FBgn0025639
"SkpA"	FBgn0025637
"sdk"	FBgn0021764
"CG13362"	FBgn0029531
"CG5254"	FBgn0040383
"CG13361"	FBgn0029532
"CG5273"	FBgn0040382
"RpL22"	FBgn0015288
"fz3"	FBgn0027343
"tw"	FBgn0086368
"CG13360"	FBgn0025620
"CG16989"	FBgn0025621
"Rbf"	FBgn0015799
"CG13359"	FBgn0025616
"CG13358"	FBgn0026874
"Sec22"	FBgn0260855
"CG43867"	FBgn0264449
"CG14635"	FBgn0029535
"CG3713"	FBgn0040343
"CG14634"	FBgn0040892
"CG11664"	FBgn0040341
"CG11663"	FBgn0029539
"CG3711"	FBgn0040344
"MED22"	FBgn0040339
"CG3708"	FBgn0040345
"CG3706"	FBgn0040342
"CG32815"	FBgn0052815
"TRAM"	FBgn0040340
"CG3704"	FBgn0040346
"mus81"	FBgn0040347
"CG3703"	FBgn0040348
"CG3699"	FBgn0040349
"CG3690"	FBgn0040350
"CG18823"	FBgn0042146
"TfIIA-S-2"	FBgn0040338
"CG14631"	FBgn0029552
"su(w[a])"	FBgn0003638
"CG11638"	FBgn0040351
"CG32814"	FBgn0052814
"CG3021"	FBgn0040337
"CDC45L"	FBgn0026143
"CG33082"	FBgn0053082
"CG14630"	FBgn0014903
"CG42259"	FBgn0266569
"CG14629"	FBgn0040398
"CG3655"	FBgn0040397
"CG14628"	FBgn0040365
"eIF4E-7"	FBgn0040368
"CG11378"	FBgn0040364
"CG11384"	FBgn0040363
"CG11379"	FBgn0040362
"CG14627"	FBgn0040361
"CG14626"	FBgn0040360
"CG11380"	FBgn0040359
"CG14625"	FBgn0040358
"CG11381"	FBgn0029568
"CG14624"	FBgn0040357
"CG11382"	FBgn0040367
"CG11398"	FBgn0040366
"CG3638"	FBgn0261444
"CG11403"	FBgn0026876
"Atf3"	FBgn0028550
"CG32812"	FBgn0025642
"DAAM"	FBgn0025641
"CG32811"	FBgn0052811
"fs(1)N"	FBgn0004650
"CG11409"	FBgn0024366
"CG11412"	FBgn0024362
"MTPAP"	FBgn0024360
"Tsp2A"	FBgn0024361
"CG12773"	FBgn0024365
"CG11417"	FBgn0024364
"png"	FBgn0000826
"CG14770"	FBgn0029573
"ssx"	FBgn0024987
"AMPKalpha"	FBgn0023169
"CG3719"	FBgn0024986
"CG32813"	FBgn0052813
"CG11448"	FBgn0024985
"futsch"	FBgn0259108
"Gr2a"	FBgn0265139
"CG14785"	FBgn0027795
"Lrpprc2"	FBgn0027794
"CG14787"	FBgn0027793
"Ns3"	FBgn0266284
"O-fut2"	FBgn0027791
"CG14777"	FBgn0026872
"CG14778"	FBgn0029580
"CG32808"	FBgn0052808
"pck"	FBgn0013720
"CG14780"	FBgn0025383
"Rab27"	FBgn0025382
"mei-38"	FBgn0260986
"rush"	FBgn0025381
"sta"	FBgn0003517
"inc"	FBgn0025394
"Nmdar2"	FBgn0053513
"CG14795"	FBgn0025393
"Mur2B"	FBgn0025390
"br"	FBgn0283451
"dor"	FBgn0000482
"CG3740"	FBgn0023530
"hfw"	FBgn0001189
"CG32809"	FBgn0023531
"CG14797"	FBgn0029587
"b6"	FBgn0024897
"CG14798"	FBgn0029588
"a6"	FBgn0023130
"CG3795"	FBgn0025378
"Scgdelta"	FBgn0025391
"prage"	FBgn0283741
"Adar"	FBgn0026086
"CG32806"	FBgn0052806
"CG14810"	FBgn0029589
"CG14811"	FBgn0029590
"CG14812"	FBgn0026090
"deltaCOP"	FBgn0028969
"CG14814"	FBgn0023515
"MED18"	FBgn0026873
"Pex5"	FBgn0023516
"CG14803"	FBgn0023513
"Pgam5"	FBgn0023517
"Vps26"	FBgn0014411
"CG14817"	FBgn0026089
"CG14805"	FBgn0023514
"CG14818"	FBgn0026088
"CG14806"	FBgn0029594
"trr"	FBgn0023518
"mRpL16"	FBgn0023519
"arm"	FBgn0000117
"CG32803"	FBgn0052803
"CG32801"	FBgn0052801
"Edem1"	FBgn0023511
"mip130"	FBgn0023509
"Rbcn-3B"	FBgn0023510
"eIF2B-epsilon"	FBgn0023512
"Ocrl"	FBgn0023508
"CG11596"	FBgn0023522
"CG3857"	FBgn0023520
"CG3587"	FBgn0023521
"Hr4"	FBgn0264562
"CG4406"	FBgn0023545
"east"	FBgn0261954
"Actn"	FBgn0000667
"usp"	FBgn0003964
"CG4313"	FBgn0025632
"CG4325"	FBgn0026878
"moody"	FBgn0025631
"Sik2"	FBgn0025625
"CG4281"	FBgn0025626
"CG14054"	FBgn0029596
"CG4199"	FBgn0025628
"CG4194"	FBgn0025627
"Rtca"	FBgn0025630
"CG4045"	FBgn0025629
"CG4025"	FBgn0025624
"CG16903"	FBgn0040394
"Unc-76"	FBgn0040395
"csw"	FBgn0000382
"ph-d"	FBgn0004860
"ph-p"	FBgn0004861
"D2hgdh"	FBgn0023507
"Pgd"	FBgn0004654
"bcn92"	FBgn0013432
"wapl"	FBgn0004655
"Cyp4d1"	FBgn0005670
"CG3630"	FBgn0023540
"ND-B14.5A"	FBgn0025839
"Cyp4d14"	FBgn0023541
"Cyp4d2"	FBgn0011576
"Cyp4ae1"	FBgn0015036
"pn"	FBgn0003116
"Nmd3"	FBgn0023542
"CG17776"	FBgn0040899
"CG17777"	FBgn0040900
"CG3457"	FBgn0024984
"Mct1"	FBgn0023549
"CG14053"	FBgn0029603
"CG18031"	FBgn0023550
"SmydA-8"	FBgn0053548
"Vinc"	FBgn0004397
"CG14052"	FBgn0029606
"pcx"	FBgn0003048
"kz"	FBgn0001330
"fs(1)K10"	FBgn0000810
"Or2a"	FBgn0023523
"crn"	FBgn0000377
"CG3191"	FBgn0023525
"CG3091"	FBgn0029608
"CG3078"	FBgn0023524
"temp"	FBgn0027296
"CG3071"	FBgn0023527
"CG2924"	FBgn0023528
"CG2918"	FBgn0023529
"Vml"	FBgn0085362
"CG2865"	FBgn0023526
"Raf"	FBgn0003079
"CG14050"	FBgn0040392
"CG2854"	FBgn0040391
"Ilp6"	FBgn0044047
"mRpL14"	FBgn0040389
"CG2841"	FBgn0003159
"PsGEF"	FBgn0264598
"CG12496"	FBgn0040385
"CG32797"	FBgn0052797
"gt"	FBgn0001150
"tko"	FBgn0003714
"boi"	FBgn0040388
"z"	FBgn0004050
"trol"	FBgn0267911
"Pdfr"	FBgn0260753
"Vha36-3"	FBgn0040377
"CG13759"	FBgn0040376
"CG13760"	FBgn0040375
"wds"	FBgn0040066
"egh"	FBgn0001404
"Klp3A"	FBgn0011606
"Zw10"	FBgn0004643
"Smyd3"	FBgn0011566
"eIF3ga"	FBgn0029629
"Tsp3A"	FBgn0040334
"Seipin"	FBgn0040336
"brv3"	FBgn0040333
"PI4KIIIalpha"	FBgn0267350
"sgg"	FBgn0003371
"HLH3B"	FBgn0011276
"CG2652"	FBgn0025838
"per"	FBgn0003068
"CG2650"	FBgn0000092
"CG2658"	FBgn0024992
"CG2662"	FBgn0024993
"Csat"	FBgn0024994
"eIF2B-beta"	FBgn0024996
"CG2680"	FBgn0024995
"CG2681"	FBgn0024997
"CG2685"	FBgn0024998
"CG2694"	FBgn0024991
"CG2701"	FBgn0024973
"fs(1)Yb"	FBgn0000928
"fs(1)Ya"	FBgn0000927
"vilya"	FBgn0283545
"dwg"	FBgn0000520
"ttm50"	FBgn0250874
"CG2712"	FBgn0024975
"crm"	FBgn0000376
"Syx4"	FBgn0024980
"kirre"	FBgn0028369
"CG32795"	FBgn0040384
"w"	FBgn0003996
"CG12498"	FBgn0040356
"CG14416"	FBgn0040352
"CG14417"	FBgn0040353
"CG14418"	FBgn0040354
"CG14419"	FBgn0029639
"CG3526"	FBgn0040355
"CG3588"	FBgn0025643
"CG14424"	FBgn0025644
"CG32793"	FBgn0052793
"CG3592"	FBgn0029642
"CG3598"	FBgn0025645
"CG14420"	FBgn0029643
"CG14421"	FBgn0029644
"CG14422"	FBgn0029645
"CG14423"	FBgn0029646
"CG17959"	FBgn0029647
"CG3603"	FBgn0029648
"rst"	FBgn0003285
"CG4116"	FBgn0029649
"N"	FBgn0004647
"CG18508"	FBgn0028746
"Fcp3C"	FBgn0000644
"CG3939"	FBgn0040396
"dnc"	FBgn0000479
"CG14265"	FBgn0040393
"ng2"	FBgn0010294
"ng3"	FBgn0010295
"ng1"	FBgn0002933
"ng4"	FBgn0010296
"Pig1"	FBgn0003086
"Sgs4"	FBgn0003374
"CG10793"	FBgn0029656
"Myc"	FBgn0262656
"CG12535"	FBgn0029657
"CG14269"	FBgn0029658
"CG16782"	FBgn0029659
"CG10801"	FBgn0029660
"CG16781"	FBgn0029661
"CG12206"	FBgn0029662
"CG10804"	FBgn0029663
"CG10802"	FBgn0029664
"CG14270"	FBgn0029665
"CG10803"	FBgn0029666
"Gas8"	FBgn0029667
"DIP-alpha"	FBgn0052791
"CG13021"	FBgn0029669
"ppk8"	FBgn0052792
"CG2875"	FBgn0029672
"AstA-R1"	FBgn0266429
"Ilp7"	FBgn0044046
"Parg"	FBgn0023216
"Mnt"	FBgn0023215
"Rala"	FBgn0015286
"Tlk"	FBgn0283657
"HIP-R"	FBgn0029676
"Crg-1"	FBgn0021738
"HIP"	FBgn0260484
"fd3F"	FBgn0264954
"ec"	FBgn0000542
"CG2901"	FBgn0029679
"yin"	FBgn0265575
"CG2930"	FBgn0028491
"VhaAC39-1"	FBgn0028665
"CG15239"	FBgn0029681
"CG42541"	FBgn0260658
"CG2938"	FBgn0029685
"CG2941"	FBgn0029686
"CG32786"	FBgn0052786
"CG32783"	FBgn0052783
"Vap33"	FBgn0029687
"lva"	FBgn0029688
"CG6428"	FBgn0029689
"CG6414"	FBgn0029690
"CG43689"	FBgn0263772
"CG6379"	FBgn0029693
"CG15375"	FBgn0029694
"Xpac"	FBgn0004832
"brn"	FBgn0000221
"cib"	FBgn0026084
"Nsun2"	FBgn0026079
"dgt4"	FBgn0026085
"Tip60"	FBgn0026080
"tyf"	FBgn0026083
"GlcAT-I"	FBgn0066114
"Fas2"	FBgn0000635
"CG43288"	FBgn0262980
"CG15571"	FBgn0029696
"CG15570"	FBgn0029697
"Femcoat"	FBgn0041252
"Muc4B"	FBgn0052774
"CG43134"	FBgn0262608
"CG43135"	FBgn0262609
"CG15576"	FBgn0029700
"CG12691"	FBgn0029701
"CG15572"	FBgn0029702
"CG15577"	FBgn0040904
"CG15578"	FBgn0040905
"CG12692"	FBgn0029703
"CG15579"	FBgn0040906
"mei-9"	FBgn0002707
"CG2982"	FBgn0266570
"mRpL33"	FBgn0040907
"norpA"	FBgn0262738
"CG12693"	FBgn0029705
"CG3626"	FBgn0029706
"CG12688"	FBgn0029707
"bi"	FBgn0000179
"CG3556"	FBgn0029708
"rb"	FBgn0003210
"CHOp24"	FBgn0029709
"CG3568"	FBgn0029710
"Usf"	FBgn0029711
"CG15912"	FBgn0029712
"CG11436"	FBgn0029713
"CG3527"	FBgn0029714
"CG11444"	FBgn0029715
"CG3546"	FBgn0029716
"CG12684"	FBgn0029717
"peb"	FBgn0003053
"CG12184"	FBgn0025387
"CG12179"	FBgn0025388
"pon"	FBgn0025739
"CG3081"	FBgn0025613
"CG3062"	FBgn0025612
"HLH4C"	FBgn0011277
"mRpL30"	FBgn0029718
"Torsin"	FBgn0025615
"Cbp80"	FBgn0022942
"CG15473"	FBgn0029719
"CG3009"	FBgn0029720
"rap"	FBgn0262699
"Pp2C1"	FBgn0022768
"ctp"	FBgn0011760
"l(1)G0334"	FBgn0028325
"CG7024"	FBgn0029722
"Proc-R"	FBgn0029723
"CG15472"	FBgn0029724
"Klf15"	FBgn0025679
"CG2871"	FBgn0029725
"CG15471"	FBgn0029726
"CG6978"	FBgn0029727
"CG2861"	FBgn0029728
"CG12682"	FBgn0029729
"CG42594"	FBgn0260971
"boil"	FBgn0029730
"CG6927"	FBgn0029733
"CG32772"	FBgn0052772
"CG4041"	FBgn0029736
"CG6903"	FBgn0029737
"CG44774"	FBgn0266000
"Ptp4E"	FBgn0004368
"CG15468"	FBgn0061196
"CG12680"	FBgn0029740
"ovo"	FBgn0003028
"CG32767"	FBgn0052767
"CG15465"	FBgn0029746
"rg"	FBgn0266098
"Rpn13R"	FBgn0029745
"CG5062"	FBgn0029747
"CG42749"	FBgn0261803
"CG3323"	FBgn0029750
"CG17764"	FBgn0029751
"Cdk7"	FBgn0263237
"snf"	FBgn0003449
"TrxT"	FBgn0029752
"dhd"	FBgn0011761
"CG4198"	FBgn0029753
"CG15930"	FBgn0029754
"Sas10"	FBgn0029755
"Rnp4F"	FBgn0014024
"Mcm3"	FBgn0024332
"CG3309"	FBgn0029756
"XRCC1"	FBgn0026751
"CanB"	FBgn0010014
"SK"	FBgn0029761
"NAAT1"	FBgn0029762
"spoon"	FBgn0263987
"Usp16-45"	FBgn0029763
"CG16756"	FBgn0029765
"CG15784"	FBgn0029766
"SPR"	FBgn0029768
"frma"	FBgn0029769
"CG32762"	FBgn0052762
"CG4151"	FBgn0029770
"CG12730"	FBgn0029771
"Vsx2"	FBgn0263512
"Vsx1"	FBgn0263511
"CG34435"	FBgn0085464
"CG34434"	FBgn0250904
"RhoGAP5A"	FBgn0029778
"Mlc-c"	FBgn0004687
"l(1)G0045"	FBgn0026702
"CG42492"	FBgn0259994
"CG42265"	FBgn0259150
"Sirt4"	FBgn0029783
"CG4119"	FBgn0028474
"Rab18"	FBgn0015794
"RpL35"	FBgn0029785
"Tre1"	FBgn0046687
"Gr5a"	FBgn0003747
"CG42449"	FBgn0259926
"CG3160"	FBgn0029789
"cv"	FBgn0000394
"CG3149"	FBgn0027564
"CG4096"	FBgn0029791
"CG33080"	FBgn0053080
"CG32758"	FBgn0052758
"CG15773"	FBgn0029795
"IntS6"	FBgn0261383
"CG4078"	FBgn0029798
"CG15772"	FBgn0029799
"lin-52"	FBgn0029800
"CG15771"	FBgn0029801
"MAPk-Ak2"	FBgn0013987
"CG42699"	FBgn0261610
"CG3097"	FBgn0029804
"CG42264"	FBgn0259149
"CG3108"	FBgn0029807
"CG15767"	FBgn0029809
"CG12239"	FBgn0029810
"Cpr5C"	FBgn0029811
"Prosbeta2R1"	FBgn0029812
"CG44329"	FBgn0265417
"CG15766"	FBgn0029813
"CG15765"	FBgn0029814
"CG12729"	FBgn0029816
"CG43136"	FBgn0262610
"CG43137"	FBgn0262611
"CG15764"	FBgn0029817
"GAA1"	FBgn0029818
"mof"	FBgn0014340
"Usp30"	FBgn0029819
"CG16721"	FBgn0029820
"Act5C"	FBgn0000042
"CG4020"	FBgn0029821
"CG12236"	FBgn0029822
"CG3011"	FBgn0029823
"CG3726"	FBgn0029824
"CG12728"	FBgn0029825
"CG32756"	FBgn0052756
"CG6041"	FBgn0029826
"CG32755"	FBgn0052755
"CG6048"	FBgn0029827
"CG6067"	FBgn0029828
"fs(1)M3"	FBgn0005390
"Grip"	FBgn0029830
"CG5966"	FBgn0029831
"CG4766"	FBgn0027546
"mab-21"	FBgn0029003
"rux"	FBgn0003302
"MCTS1"	FBgn0029833
"CG5937"	FBgn0029834
"CG5921"	FBgn0029835
"CG43115"	FBgn0262575
"CG5928"	FBgn0029836
"Tsp5D"	FBgn0029837
"CG4666"	FBgn0029838
"CG4660"	FBgn0029839
"raptor"	FBgn0029840
"Mipp2"	FBgn0026060
"Nep1"	FBgn0029843
"Ca-alpha1T"	FBgn0264386
"CG32750"	FBgn0052750
"CG32751"	FBgn0052751
"CG43090"	FBgn0262536
"vanin-like"	FBgn0040069
"Btnd"	FBgn0029848
"Efr"	FBgn0029849
"sqh"	FBgn0003514
"dtn"	FBgn0262730
"CG14445"	FBgn0029851
"Rbcn-3A"	FBgn0023458
"Spx"	FBgn0015818
"schlank"	FBgn0040918
"CG3781"	FBgn0029853
"Spt6"	FBgn0028982
"CG3566"	FBgn0029854
"Ubi-p5E"	FBgn0086558
"CG11700"	FBgn0029856
"Top3beta"	FBgn0026015
"wuho"	FBgn0029857
"Rpt4"	FBgn0028685
"mldr"	FBgn0029858
"CG15892"	FBgn0029859
"CG15891"	FBgn0029860
"CG3815"	FBgn0029861
"CG12219"	FBgn0043796
"CG3823"	FBgn0029863
"CG15894"	FBgn0029864
"CG42240"	FBgn0250869
"CG3842"	FBgn0029866
"CG3847"	FBgn0029867
"ND-B16.6"	FBgn0029868
"kdn"	FBgn0261955
"swa"	FBgn0003655
"Marf"	FBgn0029870
"PpV"	FBgn0003139
"CG33664"	FBgn0053664
"CG33669"	FBgn0053669
"CG33668"	FBgn0053668
"CG42340"	FBgn0259242
"CG33667"	FBgn0053667
"CG33666"	FBgn0053666
"CG33665"	FBgn0053665
"CG3918"	FBgn0029873
"CG3342"	FBgn0029874
"Spat"	FBgn0014031
"RpL7A"	FBgn0014026
"dx"	FBgn0000524
"CG34417"	FBgn0085446
"CG17717"	FBgn0029877
"Pat1"	FBgn0029878
"APC7"	FBgn0029879
"pigs"	FBgn0029881
"CG14443"	FBgn0029880
"CG3226"	FBgn0029882
"Cdc7"	FBgn0028360
"CG3224"	FBgn0029885
"Ctr1A"	FBgn0062413
"CG3198"	FBgn0029887
"Mcm6"	FBgn0025815
"ND-ASHI"	FBgn0029888
"l(1)G0255"	FBgn0028336 FBgn0029889
"CG4095"	FBgn0029890
"Pink1"	FBgn0029891
"CG44303"	FBgn0265362
"CG3184"	FBgn0029892
"CG14442"	FBgn0029893
"CG14440"	FBgn0029894
"CG14441"	FBgn0029895
"CG3168"	FBgn0029896
"RpL17"	FBgn0029897
"CG14439"	FBgn0029898
"CG14438"	FBgn0029899
"COQ7"	FBgn0029502
"shf"	FBgn0003390
"C3G"	FBgn0259228
"pod1"	FBgn0029903
"iav"	FBgn0086693
"Nf-YC"	FBgn0029905
"xit"	FBgn0029906
"Atx-1"	FBgn0029907
"nonC"	FBgn0263968
"mAChR-C"	FBgn0029909
"CG14435"	FBgn0029911
"CG4557"	FBgn0029912
"Cht11"	FBgn0029913
"CG4558"	FBgn0029914
"CG14434"	FBgn0029915
"CG43736"	FBgn0263993
"CG14431"	FBgn0029922
"CG32732"	FBgn0052732
"CG4586"	FBgn0029924
"CG3040"	FBgn0029925
"ogre"	FBgn0004646
"bou"	FBgn0261284
"Inx7"	FBgn0027106
"Inx2"	FBgn0027108
"cm"	FBgn0000330
"CG32736"	FBgn0052736
"CG42308"	FBgn0259204
"CG3032"	FBgn0029928
"CG4593"	FBgn0029929
"CG12541"	FBgn0029930
"CG14427"	FBgn0029931
"nullo"	FBgn0004143
"CG4607"	FBgn0029932
"Sxl"	FBgn0264270
"CG4615"	FBgn0029935
