Gene_name	Gene_ID
AAC1	NP_013772.1
AAC3	NP_009642.3
AAD10	NP_012689.1
AAD14	NP_014068.1
AAD15	NP_014477.1
AAD3	NP_010032.1
AAD4	NP_010038.1
AAH1	NP_014258.1
AAP1	NP_011913.1
AAR2	NP_009479.1
AAT1	NP_012816.1
AAT2	NP_013127.2
ABD1	NP_009795.3
ABF1	NP_012810.1
ABF2	NP_013788.1
ABM1	NP_012642.1
ABP1	NP_010012.1
ABP140	NP_014882.4
ABZ1	NP_014431.1
ABZ2	NP_014016.1
ACA1	NP_010964.3
ACB1	NP_011551.3
ACC1	NP_014413.1
ACE2	NP_013232.1
ACF2	NP_013245.1
ACF4	NP_012616.1
ACH1	NP_009538.1
ACK1	NP_010078.1
ACL4	NP_010445.1
ACM1	NP_015056.1
ACO1	NP_013407.1
ACO2	NP_012335.1
ACP1	NP_012729.1
ACS1	NP_009347.1
ACS2	NP_013254.1
ACT1	NP_116614.1
ADA2	NP_010736.3
ADD37	NP_013909.1
ADD66	NP_012716.1
ADE1	NP_009409.1
ADE12	NP_014179.1
ADE13	NP_013463.1
ADE16	NP_013128.1
ADE17	NP_013839.1
ADE2	NP_014771.3
ADE3	NP_011720.3
ADE4	NP_014029.1
ADE5,7	NP_011280.1
ADE6	NP_011575.1
ADE8	NP_010696.3
ADF1	NP_001018031.2
ADH1	NP_014555.1
ADH2	NP_014032.1
ADH3	NP_013800.1
ADH4	NP_011258.2
ADH5	NP_009703.3
ADH6	NP_014051.3
ADH7	NP_010030.1
ADI1	NP_013722.1
ADK1	NP_010512.1
ADK2	NP_011097.3
ADO1	NP_012639.1
ADP1	NP_009937.2
ADR1	NP_010502.3
ADY2	NP_009936.1
ADY3	NP_010042.2
ADY4	NP_013328.1
AEP1	NP_013780.1
AEP2	NP_014009.1
AEP3	NP_015320.1
AFB1	NP_013141.1
AFG1	NP_010862.1
AFG2	NP_013501.1
AFG3	NP_010933.1
AFI1	NP_014772.1
AFR1	NP_010370.1
AFT1	NP_011444.1
AFT2	NP_015122.1
AGA1	NP_014442.1
AGA2	NP_011483.3
AGC1	NP_015346.1
AGE1	NP_010812.3
AGE2	NP_012220.3
AGP1	NP_009905.3
AGP2	NP_009690.1
AGP3	NP_116600.1
AGX1	NP_116623.1
AHA1	NP_010500.3
AHC1	NP_014666.1
AHC2	NP_010005.1
AHK1	NP_010210.1
AHP1	NP_013210.1
AHT1	NP_001335739.1
AI1	NP_011268.1
AI3	NP_013899.1
AIF1	NP_014472.1
AIM10	NP_011010.1
AIM11	NP_011019.1
AIM14	NP_011355.1
AIM17	NP_011842.1
AIM18	NP_012068.1
AIM19	NP_012179.3
AIM2	NP_009350.1
AIM20	NP_012108.3
AIM21	NP_012268.3
AIM22	NP_012489.2
AIM23	NP_012404.1
AIM24	NP_012614.1
AIM25	NP_012634.3
AIM26	NP_012887.1
AIM29	NP_013000.3
AIM3	NP_009666.3
AIM32	NP_013662.1
AIM33	NP_013623.1
AIM34	NP_013716.1
AIM36	NP_013878.1
AIM39	NP_014588.1
AIM4	NP_009753.3
AIM41	NP_014858.1
AIM44	NP_015167.1
AIM45	NP_015329.1
AIM46	NP_012069.3
AIM6	NP_010044.2
AIM7	NP_010348.1
AIM9	NP_011003.1
AIP1	NP_013810.1
AIR1	NP_012186.1
AIR2	NP_010106.1
AKL1	NP_009615.1
AKR1	NP_010550.1
AKR2	NP_014677.1
ALA1	NP_014980.3
ALB1	NP_012413.1
ALD2	NP_013893.1
ALD3	NP_013892.1
ALD4	NP_015019.1
ALD5	NP_010996.2
ALD6	NP_015264.1
ALE1	NP_014818.1
ALF1	NP_014251.1
ALG1	NP_009668.3
ALG11	NP_014350.1
ALG12	NP_014427.1
ALG13	NP_011468.1
ALG14	NP_009626.1
ALG2	NP_011450.1
ALG3	NP_009471.1
ALG5	NP_015097.1
ALG6	NP_014644.1
ALG7	NP_009802.3
ALG8	NP_014710.1
ALG9	NP_014180.1
ALK1	NP_011494.1
ALK2	NP_009544.1
ALO1	NP_013624.1
ALP1	NP_014129.1
ALR1	NP_014511.1
ALR2	NP_116604.1
ALT1	NP_013190.1
ALT2	NP_010396.1
ALY1	NP_012946.3
ALY2	NP_012451.1
AMA1	NP_011741.5
AMD1	NP_013677.1
AMD2	NP_010528.3
AME1	NP_009770.3
AMF1	NP_015023.1
AMN1	NP_009716.1
AMS1	NP_011359.1
ANB1	NP_012581.3
ANP1	NP_010878.1
ANR2	NP_012877.1
ANS1	NP_011994.1
ANT1	NP_015453.1
ANY1	NP_013723.1
AOS1	NP_015506.1
APA1	NP_009880.2
APA2	NP_010819.1
