"Gene_name","dN","dS","micro-synteny","dataset","dNdS"
"MRPL7",0.029775,0.964525,"YES","yeast",0.0309
"SEC26",0.024625,0.6141,"YES","yeast",0.0401
"YDR239C",0.16915,0.955725,"YES","yeast",0.177
"SNU56",0.1332,1.0386,"NO","yeast",0.1282
"AMD2",0.073575,0.79065,"NO","yeast",0.0931
"PRP28",0.11415,0.88555,"YES","yeast",0.1289
"PEX5",0.0918,0.768975,"YES","yeast",0.1194
"MNN10",0.04845,0.72175,"YES","yeast",0.0671
"TRS23",0.040275,0.7358,"NO","yeast",0.0547
"VHS1",0.108225,0.926325,"NO","yeast",0.1168
"PRS4",0.01005,0.77195,"YES","yeast",0.013
"YDR248C",0.03995,0.788675,"YES","yeast",0.0507
"YDR249C",0.149875,0.810925,"YES","yeast",0.1848
"YDR250C",0.1522,0.35895,"NO","yeast",0.424
"PAM1",0.120725,0.822425,"YES","yeast",0.1468
"BTT1",0.100925,0.79935,"YES","yeast",0.1263
"MET32",0.098725,0.880775,"YES","yeast",0.1121
"CHL4",0.107125,0.84195,"NO","yeast",0.1272
"RMD5",0.053725,0.7225,"NO","yeast",0.0744
"YDR262W",0.136925,0.680825,"NO","yeast",0.2011
"UBP13",0.098675,0.819525,"YES","yeast",0.1204
"DIN7",0.09835,0.83185,"YES","yeast",0.1182
"AKR1",0.064925,0.802375,"YES","yeast",0.0809
"PEX10",0.14625,0.698375,"YES","yeast",0.2094
"HEL2",0.074425,0.86685,"YES","yeast",0.0859
"CIA1",0.032025,0.63155,"NO","yeast",0.0507
"MSW1",0.0524,0.73465,"NO","yeast",0.0713
"CCC2",0.09185,0.864725,"NO","yeast",0.1062
"GLO2",0.0793,1.082875,"NO","yeast",0.0732
"DON1",0.238025,0.9753,"NO","yeast",0.2441
"BSC2",0.1307,0.690075,"NO","yeast",0.1894
"SEF1",0.0669,0.987175,"YES","yeast",0.0678
"MTH1",0.043825,0.697475,"NO","yeast",0.0628
"RNH202",0.142125,0.803575,"NO","yeast",0.1769
"PHM6",0.1938,0.76525,"YES","yeast",0.2533
"YDR282C",0.138975,0.677525,"NO","yeast",0.2051
