species	Gene_focal	Gene_ortho
Anolis_carolinensis	AAGAB	AAGAB
Anolis_carolinensis	AAR2	ZBTB14
Anolis_carolinensis	AASDH	AASDH
Anolis_carolinensis	ABCA4	ABCA4
Anolis_carolinensis	ABCA4	ENSACAG00000005267
Anolis_carolinensis	ABCB4	ACBD7
Anolis_carolinensis	ABCC3	ABCC3
Anolis_carolinensis	ABCC4	ABCC4
Anolis_carolinensis	ABCC8	ABCC8
Anolis_carolinensis	ABCC9	ENSACAG00000017139
Anolis_carolinensis	ABCD3	ABCD3
Anolis_carolinensis	ABCG2	ENSACAG00000012812
Anolis_carolinensis	ABCG2	ENSACAG00000028261
Anolis_carolinensis	ABCG5	ABCG5
Anolis_carolinensis	ABHD13	ABHD13
Anolis_carolinensis	ABHD14B	ABHD14B
Anolis_carolinensis	ABHD17C	ABHD17C
Anolis_carolinensis	ABHD2	ABHD2
Anolis_carolinensis	ABHD2	ENSACAG00000000699
Anolis_carolinensis	ABI3	ENSACAG00000006110
Anolis_carolinensis	ABLIM2	ABLIM3
Anolis_carolinensis	ABRAXAS2	ABRAXAS2
Anolis_carolinensis	ABTB2	ABTB2
Anolis_carolinensis	ABTB2	CAT
Anolis_carolinensis	AC007326.5	SCARF2
Anolis_carolinensis	AC007906.2	CA8
Anolis_carolinensis	AC007906.2	RAB2A
Anolis_carolinensis	AC007906.2	RAB2B
Anolis_carolinensis	AC008575.1	ENSACAG00000023017
Anolis_carolinensis	AC008695.1	ENSACAG00000024574
Anolis_carolinensis	AC008695.1	ENSACAG00000029197
Anolis_carolinensis	AC110275.1	ENSACAG00000005906
Anolis_carolinensis	AC110275.1	ENSACAG00000028380
Anolis_carolinensis	AC118470.1	ENSACAG00000010919
Anolis_carolinensis	AC118470.1	ENSACAG00000010930
Anolis_carolinensis	AC118549.1	ENSACAG00000006005
Anolis_carolinensis	AC135050.2	ENSACAG00000026569
Anolis_carolinensis	ACADM	ACADM
Anolis_carolinensis	ACADM	ENSACAG00000011263
Anolis_carolinensis	ACADS	ACADS
Anolis_carolinensis	ACAT1	ACAT1
Anolis_carolinensis	ACE2	ACE2
Anolis_carolinensis	ACIN1	ACIN1
Anolis_carolinensis	ACOD1	ACOD1
Anolis_carolinensis	ACOD1	ENSACAG00000000495
Anolis_carolinensis	ACOT12	ACOT12
Anolis_carolinensis	ACOT9	ACOT9
Anolis_carolinensis	ACOX3	ACOX3
Anolis_carolinensis	ACP1	ACP1
Anolis_carolinensis	ACP2	ACP2
Anolis_carolinensis	ACP6	ACP6
Anolis_carolinensis	ACP6	GJA5
Anolis_carolinensis	ACSF2	ACSF2
Anolis_carolinensis	ACSF3	ACSF3
Anolis_carolinensis	ACSL4	ACSL4
Anolis_carolinensis	ACTA1	ACTA1
Anolis_carolinensis	ACTBL2	BEST4
