gene	symbol	cg	id	trx	species	coverage	omega	dN	dS
FBgn0000014_FBtr0083388	abd-A	CG10325	FBgn0000014	FBtr0083388	Dmel_Dsim	99.153	0.0010	0.0001	0.1184
FBgn0000018_FBtr0080168	abo	CG6093	FBgn0000018	FBtr0080168	Dmel_Dsim	100.000	0.2210	0.0270	0.1220
FBgn0000024_FBtr0300486	Ace	CG17907	FBgn0000024	FBtr0300486	Dmel_Dsim	100.000	0.0146	0.0013	0.0921
FBgn0000028_FBtr0074015	acj6	CG9151	FBgn0000028	FBtr0074015	Dmel_Dsim	98.106	0.0010	0.0000	0.0277
FBgn0000032_FBtr0085610	Acph-1	CG7899	FBgn0000032	FBtr0085610	Dmel_Dsim	100.000	0.0872	0.0109	0.1247
FBgn0000037_FBtr0072368	mAChR-A	CG4356	FBgn0000037	FBtr0072368	Dmel_Dsim	98.696	0.0487	0.0058	0.1200
FBgn0000038_FBtr0073299	nAChRbeta1	CG11348	FBgn0000038	FBtr0073299	Dmel_Dsim	100.000	0.0167	0.0008	0.0503
FBgn0000039_FBtr0084640	nAChRalpha2	CG6844	FBgn0000039	FBtr0084640	Dmel_Dsim	100.000	0.0010	0.0001	0.0965
FBgn0000052_FBtr0079219	ade2	CG9127	FBgn0000052	FBtr0079219	Dmel_Dsim	99.889	0.0781	0.0115	0.1470
FBgn0000053_FBtr0339663	ade3	CG31628	FBgn0000053	FBtr0339663	Dmel_Dsim	100.000	0.0789	0.0116	0.1465
FBgn0000055_FBtr0100591	Adh	CG3481	FBgn0000055	FBtr0100591	Dmel_Dsim	100.000	0.0527	0.0048	0.0920
FBgn0000056_FBtr0100187	Adhr	CG3484	FBgn0000056	FBtr0100187	Dmel_Dsim	100.000	0.0361	0.0049	0.1365
FBgn0000057_FBtr0340288	adp	CG5124	FBgn0000057	FBtr0340288	Dmel_Dsim	100.000	0.1450	0.0154	0.1062
FBgn0000061_FBtr0078053	al	CG3935	FBgn0000061	FBtr0078053	Dmel_Dsim	99.268	0.0639	0.0036	0.0567
FBgn0000063_FBtr0331348	ald	CG7643	FBgn0000063	FBtr0331348	Dmel_Dsim	95.178	0.3392	0.0414	0.1222
FBgn0000064_FBtr0310661	Ald	CG6058	FBgn0000064	FBtr0310661	Dmel_Dsim	95.696	0.1425	0.0290	0.2035
FBgn0000071_FBtr0081618	Ama	CG2198	FBgn0000071	FBtr0081618	Dmel_Dsim	97.869	0.0794	0.0116	0.1460
FBgn0000075_FBtr0081154	amd	CG10501	FBgn0000075	FBtr0081154	Dmel_Dsim	100.000	0.0211	0.0027	0.1266
FBgn0000077_FBtr0307281	amx	CG12127	FBgn0000077	FBtr0307281	Dmel_Dsim	92.790	0.0298	0.0047	0.1588
FBgn0000083_FBtr0336797	AnxB9	CG5730	FBgn0000083	FBtr0336797	Dmel_Dsim	100.000	0.1432	0.0271	0.1894
FBgn0000084_FBtr0301931	AnxB10	CG9579	FBgn0000084	FBtr0301931	Dmel_Dsim	99.534	0.0175	0.0037	0.2111
FBgn0000092_FBtr0070504	CG2650	CG2650	FBgn0000092	FBtr0070504	Dmel_Dsim	100.000	0.1379	0.0263	0.1907
FBgn0000097_FBtr0077850	aop	CG3166	FBgn0000097	FBtr0077850	Dmel_Dsim	99.051	0.0955	0.0054	0.0566
FBgn0000100_FBtr0078481	RpLP0	CG7490	FBgn0000100	FBtr0078481	Dmel_Dsim	98.423	0.1001	0.0162	0.1622
FBgn0000108_FBtr0307291	Appl	CG7727	FBgn0000108	FBtr0307291	Dmel_Dsim	98.664	0.0271	0.0025	0.0917
FBgn0000109_FBtr0089420	Aprt	CG18315	FBgn0000109	FBtr0089420	Dmel_Dsim	100.000	0.0661	0.0102	0.1549
FBgn0000114_FBtr0331645	aret	CG31762	FBgn0000114	FBtr0331645	Dmel_Dsim	97.098	0.2143	0.0379	0.1767
FBgn0000115_FBtr0075517	Arl1	CG6025	FBgn0000115	FBtr0075517	Dmel_Dsim	100.000	0.0010	0.0000	0.0443
FBgn0000117_FBtr0332583	arm	CG11579	FBgn0000117	FBtr0332583	Dmel_Dsim	100.000	0.0071	0.0006	0.0784
FBgn0000119_FBtr0087702	arr	CG5912	FBgn0000119	FBtr0087702	Dmel_Dsim	100.000	0.0118	0.0016	0.1357
FBgn0000120_FBtr0307350	Arr1	CG5711	FBgn0000120	FBtr0307350	Dmel_Dsim	100.000	0.0097	0.0012	0.1236
FBgn0000121_FBtr0076599	Arr2	CG5962	FBgn0000121	FBtr0076599	Dmel_Dsim	100.000	0.0084	0.0010	0.1231
FBgn0000137_FBtr0070075	ase	CG3258	FBgn0000137	FBtr0070075	Dmel_Dsim	100.000	0.2394	0.0130	0.0542
FBgn0000139_FBtr0084660	ash2	CG6677	FBgn0000139	FBtr0084660	Dmel_Dsim	80.935	0.0566	0.0091	0.1603
FBgn0000140_FBtr0084692	asp	CG6875	FBgn0000140	FBtr0084692	Dmel_Dsim	100.000	0.1296	0.0172	0.1330
FBgn0000146_FBtr0080165	aub	CG6137	FBgn0000146	FBtr0080165	Dmel_Dsim	98.560	0.4173	0.0556	0.1331
FBgn0000147_FBtr0082483	aurA	CG3068	FBgn0000147	FBtr0082483	Dmel_Dsim	98.337	0.1060	0.0152	0.1435
FBgn0000150_FBtr0346150	awd	CG2210	FBgn0000150	FBtr0346150	Dmel_Dsim	98.256	0.0243	0.0024	0.0999
FBgn0000152_FBtr0074372	Axs	CG9703	FBgn0000152	FBtr0074372	Dmel_Dsim	100.000	0.0010	0.0001	0.1060
FBgn0000153_FBtr0309960	b	CG7811	FBgn0000153	FBtr0309960	Dmel_Dsim	99.566	0.0370	0.0058	0.1566
FBgn0000157_FBtr0300076	Dll	CG3629	FBgn0000157	FBtr0300076	Dmel_Dsim	99.006	0.0426	0.0025	0.0592
FBgn0000158_FBtr0084869	bam	CG10422	FBgn0000158	FBtr0084869	Dmel_Dsim	97.758	0.6170	0.0744	0.1206
FBgn0000166_FBtr0081668	bcd	CG1034	FBgn0000166	FBtr0081668	Dmel_Dsim	100.000	0.0761	0.0074	0.0973
FBgn0000173_FBtr0332843	ben	CG18319	FBgn0000173	FBtr0332843	Dmel_Dsim	100.000	0.0010	0.0001	0.1036
FBgn0000181_FBtr0087782	bic	CG3644	FBgn0000181	FBtr0087782	Dmel_Dsim	100.000	0.0304	0.0024	0.0786
FBgn0000182_FBtr0080804	BicC	CG4824	FBgn0000182	FBtr0080804	Dmel_Dsim	99.448	0.0420	0.0034	0.0811
FBgn0000206_FBtr0084949	boss	CG8285	FBgn0000206	FBtr0084949	Dmel_Dsim	100.000	0.0424	0.0050	0.1189
FBgn0000216_FBtr0075621	Brd	CG3096	FBgn0000216	FBtr0075621	Dmel_Dsim	93.902	0.3530	0.0293	0.0830
FBgn0000221_FBtr0070638	brn	CG4934	FBgn0000221	FBtr0070638	Dmel_Dsim	96.408	0.1184	0.0158	0.1338
FBgn0000227_FBtr0077423	Bsg25A	CG12205	FBgn0000227	FBtr0077423	Dmel_Dsim	99.587	0.1090	0.0161	0.1477
FBgn0000228_FBtr0310625	Bsg25D	CG14025	FBgn0000228	FBtr0310625	Dmel_Dsim	99.776	0.0534	0.0074	0.1389
FBgn0000229_FBtr0300982	bsk	CG5680	FBgn0000229	FBtr0300982	Dmel_Dsim	100.000	0.0010	0.0000	0.0451
FBgn0000239_FBtr0343875	bur	CG9242	FBgn0000239	FBtr0343875	Dmel_Dsim	99.348	0.0356	0.0040	0.1124
FBgn0000244_FBtr0082119	by	CG9379	FBgn0000244	FBtr0082119	Dmel_Dsim	98.753	0.1023	0.0082	0.0801
FBgn0000246_FBtr0083194	c(3)G	CG17604	FBgn0000246	FBtr0083194	Dmel_Dsim	100.000	0.3939	0.0531	0.1348
FBgn0000247_FBtr0346613	ca	CG31037	FBgn0000247	FBtr0346613	Dmel_Dsim	99.567	0.1154	0.0104	0.0903
FBgn0000250_FBtr0337081	cact	CG5848	FBgn0000250	FBtr0337081	Dmel_Dsim	100.000	0.0271	0.0018	0.0647
