species	Gene_focal
Ashbya_aceri	ABD1
Ashbya_aceri	ABF1
Ashbya_aceri	ABF2
Ashbya_aceri	ABM1
Ashbya_aceri	ABZ1
Ashbya_aceri	ACB1
Ashbya_aceri	ACC1
Ashbya_aceri	ACF2
Ashbya_aceri	ACL4
Ashbya_aceri	ACM1
Ashbya_aceri	ACS1
Ashbya_aceri	ACT1
Ashbya_aceri	ADE1
Ashbya_aceri	ADE12
Ashbya_aceri	ADE17
Ashbya_aceri	ADE4
Ashbya_aceri	ADE6
Ashbya_aceri	ADE8
Ashbya_aceri	ADK2
Ashbya_aceri	ADY2
Ashbya_aceri	AEP1
Ashbya_aceri	AEP3
Ashbya_aceri	AFG1
Ashbya_aceri	AFG2
Ashbya_aceri	AFT1
Ashbya_aceri	AGE2
Ashbya_aceri	AHC2
Ashbya_aceri	AIM10
Ashbya_aceri	AIM20
Ashbya_aceri	AIM33
Ashbya_aceri	AIP1
Ashbya_aceri	AKL1
Ashbya_aceri	ALB1
Ashbya_aceri	ALE1
Ashbya_aceri	ALG5
Ashbya_aceri	ALG7
Ashbya_aceri	ALG8
Ashbya_aceri	ALG9
Ashbya_aceri	ALT1
Ashbya_aceri	ALY2
Ashbya_aceri	AME1
Ashbya_aceri	AOS1
Ashbya_aceri	APA2
Ashbya_aceri	APC4
Ashbya_aceri	APC9
Ashbya_aceri	APL2
Ashbya_aceri	APL3
Ashbya_aceri	APL5
Ashbya_aceri	APM2
Ashbya_aceri	APN1
Ashbya_aceri	APS2
Ashbya_aceri	APT1
Ashbya_aceri	APT2
Ashbya_aceri	ARB1
Ashbya_aceri	ARF3
Ashbya_aceri	ARG2
Ashbya_aceri	ARG3
Ashbya_aceri	ARG4
Ashbya_aceri	ARO1
Ashbya_aceri	ARO4
Ashbya_aceri	ARP3
Ashbya_aceri	ARP8
Ashbya_aceri	ART10
Ashbya_aceri	ARV1
Ashbya_aceri	ASG7
Ashbya_aceri	ASH1
Ashbya_aceri	ASK1
Ashbya_aceri	ASM4
Ashbya_aceri	ATC1
Ashbya_aceri	ATE1
Ashbya_aceri	ATF2
Ashbya_aceri	ATG1
Ashbya_aceri	ATG10
Ashbya_aceri	ATG11
Ashbya_aceri	ATG12
Ashbya_aceri	ATG13
Ashbya_aceri	ATG15
Ashbya_aceri	ATG20
Ashbya_aceri	ATG21
Ashbya_aceri	ATG22
Ashbya_aceri	ATG27
Ashbya_aceri	ATG29
Ashbya_aceri	ATG3
Ashbya_aceri	ATG32
Ashbya_aceri	ATG36
Ashbya_aceri	ATG4
Ashbya_aceri	ATG5
Ashbya_aceri	ATG8
Ashbya_aceri	ATG9
Ashbya_aceri	ATP11
Ashbya_aceri	ATP12
Ashbya_aceri	ATP16
Ashbya_aceri	ATP19
Ashbya_aceri	ATP23
Ashbya_aceri	ATP5
Ashbya_aceri	ATP7
Ashbya_aceri	ATR1
Ashbya_aceri	ATX1
Ashbya_aceri	ATX2
Ashbya_aceri	AVO1
Ashbya_aceri	AVT3
Ashbya_aceri	AVT4
Ashbya_aceri	AVT5
Ashbya_aceri	AYR1
Ashbya_aceri	BAP2
Ashbya_aceri	BAS1
Ashbya_aceri	BBP1
Ashbya_aceri	BCH1
Ashbya_aceri	BCK2
Ashbya_aceri	BCS1
