species	Gene_focal	Gene_ortho
Ashbya_aceri	ABF1	AACERI_AaceriABL050W
Ashbya_aceri	ABF1	AACERI_AaceriABL051W
Ashbya_aceri	ABZ1	AACERI_AaceriAER267W
Ashbya_aceri	ACB1	AACERI_AaceriACL187W
Ashbya_aceri	ACF2	AACERI_AaceriAGL161C
Ashbya_aceri	ACF2	AACERI_AaceriAGL163W
Ashbya_aceri	ACL4	AACERI_AaceriAGL170W
Ashbya_aceri	ADE12	AACERI_AaceriABL186W
Ashbya_aceri	ADE17	AACERI_AaceriAFR213C
Ashbya_aceri	ADE1	AACERI_AaceriAER221W
Ashbya_aceri	ADE8	AACERI_AaceriAAR119W
Ashbya_aceri	ADE8	AACERI_AaceriAAR120C
Ashbya_aceri	AEP3	AACERI_AaceriAGL007W
Ashbya_aceri	AFG2	AACERI_AaceriAER065C
Ashbya_aceri	AFG2	AACERI_AaceriAER066W
Ashbya_aceri	AIM20	AACERI_AaceriAFR300C
Ashbya_aceri	AIM33	AACERI_AaceriAFR439C
Ashbya_aceri	ALE1	AACERI_AaceriAGR271C
Ashbya_aceri	ALG5	AACERI_AaceriAFL132C
Ashbya_aceri	ALG5	AACERI_AaceriAFL133C
Ashbya_aceri	ALG8	AACERI_AaceriADR210C
Ashbya_aceri	ALG9	AACERI_AaceriABL184W
Ashbya_aceri	ALG9	AACERI_AaceriABL185C
Ashbya_aceri	ALY2	AACERI_AaceriAFR101C
Ashbya_aceri	ALY2	AACERI_AaceriAFR102C
Ashbya_aceri	AME1	AACERI_AaceriAAR150C
Ashbya_aceri	APA2	AACERI_AaceriAFR730W
Ashbya_aceri	APC9	AACERI_AaceriAGR069C
Ashbya_aceri	APC9	AACERI_AaceriAGR070C
Ashbya_aceri	APL3	AACERI_AaceriADL302W
Ashbya_aceri	APL3	AACERI_AaceriADL303C
Ashbya_aceri	APL5	AACERI_AaceriAFL076W
Ashbya_aceri	APL5	AACERI_AaceriAFL077C
Ashbya_aceri	APN1	AACERI_AaceriABL053W
Ashbya_aceri	APN1	AACERI_AaceriABL054C
Ashbya_aceri	APT1	AACERI_AaceriAER325W
Ashbya_aceri	APT1	AACERI_AaceriAER326C
Ashbya_aceri	ARB1	AACERI_AaceriAFR232C
Ashbya_aceri	ARB1	AACERI_AaceriAFR233W
Ashbya_aceri	ARG2	AACERI_AaceriADR120C
Ashbya_aceri	ARG3	AACERI_AaceriAFR097W
Ashbya_aceri	ARG3	AACERI_AaceriAFR098W
Ashbya_aceri	ARO1	AACERI_AaceriAGR066W
Ashbya_aceri	ARP8	AACERI_AaceriAFR135W
Ashbya_aceri	ASH1	AACERI_AaceriAER088C
Ashbya_aceri	ASK1	AACERI_AaceriABR079C
Ashbya_aceri	ATC1	AACERI_AaceriAGL127C
Ashbya_aceri	ATC1	AACERI_AaceriAGL128W
Ashbya_aceri	ATE1	AACERI_AaceriAGR165W
Ashbya_aceri	ATF2	AACERI_AaceriAAL140C
Ashbya_aceri	ATG10	AACERI_AaceriACL066C
Ashbya_aceri	ATG10	AACERI_AaceriACL067C
Ashbya_aceri	ATG1	AACERI_AaceriACL054W
Ashbya_aceri	ATG21	AACERI_AaceriABR189W
Ashbya_aceri	ATG22	AACERI_AaceriAFR714W
