species	Gene_focal
Aedes_aegypti	14-3-3zeta
Aedes_aegypti	ATPsynGL
Aedes_aegypti	Akh
Aedes_aegypti	Aprt
Aedes_aegypti	Art9
Aedes_aegypti	Atg12
Aedes_aegypti	Atg8b
Aedes_aegypti	CG10163
Aedes_aegypti	CG10321
Aedes_aegypti	CG10352
Aedes_aegypti	CG10470
Aedes_aegypti	CG10510
Aedes_aegypti	CG11035
Aedes_aegypti	CG11456
Aedes_aegypti	CG11498
Aedes_aegypti	CG11710
Aedes_aegypti	CG11899
Aedes_aegypti	CG11911
Aedes_aegypti	CG11985
Aedes_aegypti	CG12061
Aedes_aegypti	CG12164
Aedes_aegypti	CG12231
Aedes_aegypti	CG12264
Aedes_aegypti	CG1265
Aedes_aegypti	CG12895
Aedes_aegypti	CG12935
Aedes_aegypti	CG12970
Aedes_aegypti	CG12986
Aedes_aegypti	CG13025
Aedes_aegypti	CG13056
Aedes_aegypti	CG13285
Aedes_aegypti	CG13305
Aedes_aegypti	CG13397
Aedes_aegypti	CG13708
Aedes_aegypti	CG1371
Aedes_aegypti	CG13930
Aedes_aegypti	CG13994
Aedes_aegypti	CG1407
Aedes_aegypti	CG14125
Aedes_aegypti	CG14321
Aedes_aegypti	CG14391
Aedes_aegypti	CG1463
Aedes_aegypti	CG14945
Aedes_aegypti	CG15011
Aedes_aegypti	CG15534
Aedes_aegypti	CG15651
Aedes_aegypti	CG15653
Aedes_aegypti	CG1647
Aedes_aegypti	CG17127
Aedes_aegypti	CG17224
Aedes_aegypti	CG17234
Aedes_aegypti	CG17258
Aedes_aegypti	CG17322
Aedes_aegypti	CG17378
Aedes_aegypti	CG17549
Aedes_aegypti	CG17597
Aedes_aegypti	CG17633
Aedes_aegypti	CG17826
Aedes_aegypti	CG18675
Aedes_aegypti	CG18754
Aedes_aegypti	CG2082
Aedes_aegypti	CG2663
Aedes_aegypti	CG30493
Aedes_aegypti	CG31028
Aedes_aegypti	CG31030
Aedes_aegypti	CG31122
Aedes_aegypti	CG31198
Aedes_aegypti	CG31473
Aedes_aegypti	CG31624
Aedes_aegypti	CG31800
Aedes_aegypti	CG31882
Aedes_aegypti	CG3259
Aedes_aegypti	CG3270
Aedes_aegypti	CG33080
Aedes_aegypti	CG3326
Aedes_aegypti	CG33281
Aedes_aegypti	CG33510
Aedes_aegypti	CG33977
Aedes_aegypti	CG34134
Aedes_aegypti	CG34290
Aedes_aegypti	CG34402
Aedes_aegypti	CG34447
Aedes_aegypti	CG3505
Aedes_aegypti	CG3702
Aedes_aegypti	CG42366
Aedes_aegypti	CG42367
Aedes_aegypti	CG42633
Aedes_aegypti	CG42795
Aedes_aegypti	CG42833
Aedes_aegypti	CG43057
Aedes_aegypti	CG43191
Aedes_aegypti	CG43235
Aedes_aegypti	CG4592
Aedes_aegypti	CG4679
Aedes_aegypti	CG4842
Aedes_aegypti	CG4911
Aedes_aegypti	CG5104
Aedes_aegypti	CG5245
Aedes_aegypti	CG5435
Aedes_aegypti	CG5697
Aedes_aegypti	CG5892
Aedes_aegypti	CG6026
Aedes_aegypti	CG6182
Aedes_aegypti	CG7011
Aedes_aegypti	CG7091
Aedes_aegypti	CG7164
Aedes_aegypti	CG7191
Aedes_aegypti	CG7201
Aedes_aegypti	CG7339
Aedes_aegypti	CG7432
Aedes_aegypti	CG7579
Aedes_aegypti	CG7787
Aedes_aegypti	CG8172
Aedes_aegypti	CG8197
Aedes_aegypti	CG8441
Aedes_aegypti	CG8892
Aedes_aegypti	CG9286
Aedes_aegypti	CG9393
Aedes_aegypti	CG9427
Aedes_aegypti	CG9581
Aedes_aegypti	CG9698
Aedes_aegypti	Cht2
Aedes_aegypti	Cpr72Ec
Aedes_aegypti	CstF-64
Aedes_aegypti	CycT
Aedes_aegypti	Cyp28a5
Aedes_aegypti	Cyp4g15
Aedes_aegypti	Cyp6a20
Aedes_aegypti	Cyp9b1
Aedes_aegypti	Cyt-b5-r
Aedes_aegypti	Dic61B
Aedes_aegypti	Elp3
Aedes_aegypti	Epg5
Aedes_aegypti	FIG4
Aedes_aegypti	Fem-1
Aedes_aegypti	FucTA
Aedes_aegypti	Gmd
Aedes_aegypti	Gr28b
Aedes_aegypti	Incenp
Aedes_aegypti	Ire1
Aedes_aegypti	JIL-1
Aedes_aegypti	Kmn2
Aedes_aegypti	Lrt
Aedes_aegypti	LysX
Aedes_aegypti	Mhc
Aedes_aegypti	ND-MWFE
Aedes_aegypti	ND-SGDH
Aedes_aegypti	NPF
Aedes_aegypti	NimB1
Aedes_aegypti	Orco
Aedes_aegypti	Osi10
Aedes_aegypti	Osi15
Aedes_aegypti	Osi18
Aedes_aegypti	Osi19
Aedes_aegypti	Osi3
Aedes_aegypti	Osi4
Aedes_aegypti	Osi9
Aedes_aegypti	Patsas
Aedes_aegypti	Pgd
Aedes_aegypti	Phm
Aedes_aegypti	PpD3
Aedes_aegypti	Ppox
Aedes_aegypti	Prosbeta2
Aedes_aegypti	Prp38
Aedes_aegypti	RabX5
Aedes_aegypti	RhoBTB
Aedes_aegypti	RpS28-like
Aedes_aegypti	SAK
Aedes_aegypti	Set
Aedes_aegypti	Sod3
Aedes_aegypti	Srp19
Aedes_aegypti	Syn
Aedes_aegypti	Syx17
Aedes_aegypti	TM9SF2
Aedes_aegypti	Taf13
Aedes_aegypti	Tmhs
Aedes_aegypti	Traf6
Aedes_aegypti	VGAT
Aedes_aegypti	Vml
Aedes_aegypti	alphaTub67C
Aedes_aegypti	awd
Aedes_aegypti	betaTry
Aedes_aegypti	boca
Aedes_aegypti	bocks
Aedes_aegypti	calypso
Aedes_aegypti	capu
Aedes_aegypti	clu
Aedes_aegypti	drd
Aedes_aegypti	dsb
Aedes_aegypti	fd96Cb
Aedes_aegypti	grnd
Aedes_aegypti	gsb
Aedes_aegypti	heix
Aedes_aegypti	in
Aedes_aegypti	kappaTry
Aedes_aegypti	kat-60L1
Aedes_aegypti	kon
Aedes_aegypti	l(2)10685
Aedes_aegypti	l(3)neo43
Aedes_aegypti	lqfR
Aedes_aegypti	mRpL33
Aedes_aegypti	mad2
Aedes_aegypti	mnd
Aedes_aegypti	mri
Aedes_aegypti	nesd
Aedes_aegypti	ninaB
Aedes_aegypti	nonC
Aedes_aegypti	nrv1
Aedes_aegypti	obst-G
Aedes_aegypti	ppk13
Aedes_aegypti	ppk17
Aedes_aegypti	ppk6
Aedes_aegypti	ppl
Aedes_aegypti	qin
Aedes_aegypti	rogdi
Aedes_aegypti	slo
Aedes_aegypti	spn-D
Aedes_aegypti	spo
Aedes_aegypti	stv
Aedes_aegypti	sut1
Aedes_aegypti	thetaTry
Aedes_aegypti	tll
Aedes_aegypti	wntD
Aedes_aegypti	yellow-b
Aedes_aegypti	yellow-e
Aedes_aegypti	zetaTry
Anopheles_gambiae	14-3-3zeta
Anopheles_gambiae	AMPdeam
Anopheles_gambiae	ATPsynGL
Anopheles_gambiae	Ag5r2
Anopheles_gambiae	Akh
Anopheles_gambiae	Aldh-III
Anopheles_gambiae	Apc2
Anopheles_gambiae	Aprt
Anopheles_gambiae	Atg12
Anopheles_gambiae	Bap60
Anopheles_gambiae	CAHbeta
Anopheles_gambiae	CCHa1-R
Anopheles_gambiae	CG10170
Anopheles_gambiae	CG10345
Anopheles_gambiae	CG10472
Anopheles_gambiae	CG10510
Anopheles_gambiae	CG10646
Anopheles_gambiae	CG10904
Anopheles_gambiae	CG11069
Anopheles_gambiae	CG11498
Anopheles_gambiae	CG11899
Anopheles_gambiae	CG11911
Anopheles_gambiae	CG12017
Anopheles_gambiae	CG12061
Anopheles_gambiae	CG12123
Anopheles_gambiae	CG12182
Anopheles_gambiae	CG1265
Anopheles_gambiae	CG12857
Anopheles_gambiae	CG12935
Anopheles_gambiae	CG13025
Anopheles_gambiae	CG13305
Anopheles_gambiae	CG13614
Anopheles_gambiae	CG13807
Anopheles_gambiae	CG13912
Anopheles_gambiae	CG13994
Anopheles_gambiae	CG14125
Anopheles_gambiae	CG14275
Anopheles_gambiae	CG14321
Anopheles_gambiae	CG14391
Anopheles_gambiae	CG14509
Anopheles_gambiae	CG14515
Anopheles_gambiae	CG14546
Anopheles_gambiae	CG14561
Anopheles_gambiae	CG14691
Anopheles_gambiae	CG14892
Anopheles_gambiae	CG15526
Anopheles_gambiae	CG15649
Anopheles_gambiae	CG15651
Anopheles_gambiae	CG15814
Anopheles_gambiae	CG15887
Anopheles_gambiae	CG15888
Anopheles_gambiae	CG1628
Anopheles_gambiae	CG1647
Anopheles_gambiae	CG17083
Anopheles_gambiae	CG17211
Anopheles_gambiae	CG17261
Anopheles_gambiae	CG17378
Anopheles_gambiae	CG17633
Anopheles_gambiae	CG17782
Anopheles_gambiae	CG18081
Anopheles_gambiae	CG18675
Anopheles_gambiae	CG18765
Anopheles_gambiae	CG2663
Anopheles_gambiae	CG30089
Anopheles_gambiae	CG30105
Anopheles_gambiae	CG30378
Anopheles_gambiae	CG30493
Anopheles_gambiae	CG31028
Anopheles_gambiae	CG31030
Anopheles_gambiae	CG31051
Anopheles_gambiae	CG31102
Anopheles_gambiae	CG31388
Anopheles_gambiae	CG31709
Anopheles_gambiae	CG31800
Anopheles_gambiae	CG31957
Anopheles_gambiae	CG33080
Anopheles_gambiae	CG33158
Anopheles_gambiae	CG3326
Anopheles_gambiae	CG33977
Anopheles_gambiae	CG34115
Anopheles_gambiae	CG34134
Anopheles_gambiae	CG34185
Anopheles_gambiae	CG34194
Anopheles_gambiae	CG34265
Anopheles_gambiae	CG34447
Anopheles_gambiae	CG3505
Anopheles_gambiae	CG3702
Anopheles_gambiae	CG42795
Anopheles_gambiae	CG42812
Anopheles_gambiae	CG4301
Anopheles_gambiae	CG43219
Anopheles_gambiae	CG43235
Anopheles_gambiae	CG4434
Anopheles_gambiae	CG44838
Anopheles_gambiae	CG4502
Anopheles_gambiae	CG4679
Anopheles_gambiae	CG4911
Anopheles_gambiae	CG4936
Anopheles_gambiae	CG5104
Anopheles_gambiae	CG5245
Anopheles_gambiae	CG5435
Anopheles_gambiae	CG5697
Anopheles_gambiae	CG6026
Anopheles_gambiae	CG6574
Anopheles_gambiae	CG6744
Anopheles_gambiae	CG6763
Anopheles_gambiae	CG6931
Anopheles_gambiae	CG7011
Anopheles_gambiae	CG7131
Anopheles_gambiae	CG7179
Anopheles_gambiae	CG7191
Anopheles_gambiae	CG7201
Anopheles_gambiae	CG7339
Anopheles_gambiae	CG7456
Anopheles_gambiae	CG7724
Anopheles_gambiae	CG7806
Anopheles_gambiae	CG8441
Anopheles_gambiae	CG8520
Anopheles_gambiae	CG8564
Anopheles_gambiae	CG8630
Anopheles_gambiae	CG8910
Anopheles_gambiae	CG8916
Anopheles_gambiae	CG8927
Anopheles_gambiae	CG9154
Anopheles_gambiae	CG9344
Anopheles_gambiae	CG9393
Anopheles_gambiae	CG9684
Anopheles_gambiae	CG9760
Anopheles_gambiae	Cdc2rk
Anopheles_gambiae	CenB1A
Anopheles_gambiae	CheA46a
Anopheles_gambiae	Col4a1
Anopheles_gambiae	Cpr62Ba
Anopheles_gambiae	Cpr73D
Anopheles_gambiae	Cpr97Ea
Anopheles_gambiae	Cyp4ad1
Anopheles_gambiae	Cyp9b1
Anopheles_gambiae	Cyt-b5-r
Anopheles_gambiae	Epg5
Anopheles_gambiae	Fen1
Anopheles_gambiae	Gr28b
Anopheles_gambiae	Gr39b
Anopheles_gambiae	Hexo1
Anopheles_gambiae	Ire1
Anopheles_gambiae	JIL-1
Anopheles_gambiae	Jhedup
Anopheles_gambiae	LeuRS-m
Anopheles_gambiae	Lrt
Anopheles_gambiae	Lsp1alpha
Anopheles_gambiae	LysX
Anopheles_gambiae	Mhc
Anopheles_gambiae	Mlc2
Anopheles_gambiae	ND-30
Anopheles_gambiae	O-fut1
Anopheles_gambiae	Or59a
Anopheles_gambiae	Osi10
Anopheles_gambiae	Osi11
Anopheles_gambiae	Osi15
Anopheles_gambiae	Osi18
Anopheles_gambiae	Osi19
Anopheles_gambiae	Osi2
Anopheles_gambiae	Osi23
Anopheles_gambiae	Osi24
Anopheles_gambiae	Osi3
Anopheles_gambiae	Osi5
Anopheles_gambiae	PTPMT1
Anopheles_gambiae	PpD3
Anopheles_gambiae	Ppox
Anopheles_gambiae	Prosbeta2
Anopheles_gambiae	Prp38
Anopheles_gambiae	Rh7
Anopheles_gambiae	Rho1
Anopheles_gambiae	RpS28-like
Anopheles_gambiae	Rpn3
Anopheles_gambiae	Set
Anopheles_gambiae	Sobp
Anopheles_gambiae	Sod3
Anopheles_gambiae	Spn42De
Anopheles_gambiae	Srp19
Anopheles_gambiae	Syn
Anopheles_gambiae	Syx17
Anopheles_gambiae	Tmhs
Anopheles_gambiae	Traf6
Anopheles_gambiae	Ugt86Da
Anopheles_gambiae	Ugt86Dg
Anopheles_gambiae	aralar1
Anopheles_gambiae	asl
Anopheles_gambiae	bdl
Anopheles_gambiae	boca
Anopheles_gambiae	bocks
Anopheles_gambiae	capu
Anopheles_gambiae	cert
Anopheles_gambiae	cin
Anopheles_gambiae	drosha
Anopheles_gambiae	e(r)
Anopheles_gambiae	eff
Anopheles_gambiae	fd96Cb
Anopheles_gambiae	fest
Anopheles_gambiae	fidipidine
Anopheles_gambiae	grnd
Anopheles_gambiae	gsb
Anopheles_gambiae	heix
Anopheles_gambiae	inv
Anopheles_gambiae	l(2)37Cb
Anopheles_gambiae	l(2)37Cc
Anopheles_gambiae	loopin-1
Anopheles_gambiae	mRpL23
Anopheles_gambiae	mRpL33
Anopheles_gambiae	mats
Anopheles_gambiae	mri
Anopheles_gambiae	mthl12
Anopheles_gambiae	nesd
Anopheles_gambiae	ninaD
Anopheles_gambiae	nrv1
Anopheles_gambiae	ppk17
Anopheles_gambiae	ppk6
Anopheles_gambiae	rswl
Anopheles_gambiae	scpr-B
Anopheles_gambiae	shd
Anopheles_gambiae	slpr
Anopheles_gambiae	snRNP-U1-C
Anopheles_gambiae	spn-D
Anopheles_gambiae	spo
Anopheles_gambiae	sra
Anopheles_gambiae	stai
Anopheles_gambiae	stv
Anopheles_gambiae	sut1
Anopheles_gambiae	ush
Anopheles_gambiae	vkg
Anopheles_gambiae	yellow-b
Apis_mellifera	14-3-3zeta
Apis_mellifera	CG10019
Apis_mellifera	CG10163
Apis_mellifera	CG10170
Apis_mellifera	CG11899
Apis_mellifera	CG13298
Apis_mellifera	CG14512
Apis_mellifera	CG14515
Apis_mellifera	CG14687
Apis_mellifera	CG18130
Apis_mellifera	CG30491
Apis_mellifera	CG31224
Apis_mellifera	CG3270
Apis_mellifera	CG33725
Apis_mellifera	CG4278
Apis_mellifera	CG4666
Apis_mellifera	CG7330
Apis_mellifera	CG8213
Apis_mellifera	CG8481
Apis_mellifera	CG8526
Apis_mellifera	CG9684
Apis_mellifera	Caf1-180
Apis_mellifera	CenB1A
Apis_mellifera	Ice1
