species	Gene_focal
Ashbya_aceri	ACL4
Ashbya_aceri	AFG2
Ashbya_aceri	ALG5
Ashbya_aceri	ALG9
Ashbya_aceri	APA2
Ashbya_aceri	APN1
Ashbya_aceri	ARG3
Ashbya_aceri	ASK1
Ashbya_aceri	ATG10
Ashbya_aceri	ATG21
Ashbya_aceri	ATG22
Ashbya_aceri	ATG27
Ashbya_aceri	ATG36
Ashbya_aceri	ATG9
Ashbya_aceri	ATP12
Ashbya_aceri	ATP16
Ashbya_aceri	BDF1
Ashbya_aceri	BEM2
Ashbya_aceri	BIK1
Ashbya_aceri	BMS1
Ashbya_aceri	BNI4
Ashbya_aceri	BNI5
Ashbya_aceri	CBS2
Ashbya_aceri	CDC45
Ashbya_aceri	CET1
Ashbya_aceri	CHS6
Ashbya_aceri	CIN4
Ashbya_aceri	CKA2
Ashbya_aceri	CNL1
Ashbya_aceri	CNM67
Ashbya_aceri	COG4
Ashbya_aceri	COQ1
Ashbya_aceri	COQ11
Ashbya_aceri	COQ4
Ashbya_aceri	CSL4
Ashbya_aceri	CST9
Ashbya_aceri	CUE1
Ashbya_aceri	CYT1
Ashbya_aceri	DEF1
Ashbya_aceri	DIF1
Ashbya_aceri	DIG1
Ashbya_aceri	DPB11
Ashbya_aceri	EAF7
Ashbya_aceri	ECM30
Ashbya_aceri	ELA1
Ashbya_aceri	EMC1
Ashbya_aceri	ENV7
Ashbya_aceri	ERG29
Ashbya_aceri	ERI1
Ashbya_aceri	EXO70
Ashbya_aceri	FAS2
Ashbya_aceri	FCY22
Ashbya_aceri	FHL1
Ashbya_aceri	FMC1
Ashbya_aceri	FMP41
Ashbya_aceri	FMP52
Ashbya_aceri	FYV7
Ashbya_aceri	GAS3
Ashbya_aceri	GCD10
Ashbya_aceri	GCD7
Ashbya_aceri	GCR1
Ashbya_aceri	GFD2
Ashbya_aceri	GID8
Ashbya_aceri	GND1
Ashbya_aceri	GON7
Ashbya_aceri	GPB1
Ashbya_aceri	GPG1
Ashbya_aceri	GRX1
