"Gene_name","dN","dS","micro-synteny","tag"
"MRPL7",0.029775,0.964525,"YES","yeast"
"SEC26",0.024625,0.6141,"YES","yeast"
"YDR239C",0.16915,0.955725,"YES","yeast"
"SNU56",0.1332,1.0386,"NO","yeast"
"AMD2",0.073575,0.79065,"NO","yeast"
"PRP28",0.11415,0.88555,"YES","yeast"
"PEX5",0.0918,0.768975,"YES","yeast"
"MNN10",0.04845,0.72175,"YES","yeast"
"TRS23",0.040275,0.7358,"NO","yeast"
"VHS1",0.108225,0.926325,"NO","yeast"
"PRS4",0.01005,0.77195,"YES","yeast"
"YDR248C",0.03995,0.788675,"YES","yeast"
"YDR249C",0.149875,0.810925,"YES","yeast"
"YDR250C",0.1522,0.35895,"NO","yeast"
"PAM1",0.120725,0.822425,"YES","yeast"
"BTT1",0.100925,0.79935,"YES","yeast"
"MET32",0.098725,0.880775,"YES","yeast"
"CHL4",0.107125,0.84195,"NO","yeast"
"RMD5",0.053725,0.7225,"NO","yeast"
"YDR262W",0.136925,0.680825,"NO","yeast"
"UBP13",0.098675,0.819525,"YES","yeast"
"DIN7",0.09835,0.83185,"YES","yeast"
"AKR1",0.064925,0.802375,"YES","yeast"
"PEX10",0.14625,0.698375,"YES","yeast"
"HEL2",0.074425,0.86685,"YES","yeast"
"CIA1",0.032025,0.63155,"NO","yeast"
"MSW1",0.0524,0.73465,"NO","yeast"
"CCC2",0.09185,0.864725,"NO","yeast"
"GLO2",0.0793,1.082875,"NO","yeast"
"DON1",0.238025,0.9753,"NO","yeast"
"BSC2",0.1307,0.690075,"NO","yeast"
"SEF1",0.0669,0.987175,"YES","yeast"
"MTH1",0.043825,0.697475,"NO","yeast"
"RNH202",0.142125,0.803575,"NO","yeast"
"PHM6",0.1938,0.76525,"YES","yeast"
"YDR282C",0.138975,0.677525,"NO","yeast"
"GCN2",0.02975,0.7957,"NO","yeast"
"DPP1",0.05785,0.8075,"NO","yeast"
"ZIP1",0.1292,0.65185,"YES","yeast"
"YDR286C",0.096825,0.736825,"YES","yeast"
"PRX1",0.020125,0.991075,"YES","yeast"
"INM2",0.072125,1.024875,"YES","yeast"
"NSE3",0.1085,0.75705,"YES","yeast"
"RTT103",0.08275,0.875775,"NO","yeast"
"HRQ1",0.053975,0.9945,"NO","yeast"
"SRP101",0.05305,0.912525,"NO","yeast"
"SSD1",0.0292,1.172825,"NO","yeast"
"DPL1",0.05555,0.720525,"NO","yeast"
"HDA2",0.114425,0.81305,"YES","yeast"
"MHR1",0.0648,0.85025,"YES","yeast"
"SUR2",0.031975,0.80005,"YES","yeast"
"KIP1",0.108125,0.801,"YES","yeast"
"ATP5",0.033325,0.56755,"YES","yeast"
"BFR2",0.0836,0.716875,"YES","yeast"
"PRO1",0.032775,0.740325,"YES","yeast"
"CFT1",0.042875,0.787,"YES","yeast"
"GPI11",0.038925,0.709475,"YES","yeast"
"RSC3",0.0787,0.741375,"YES","yeast"
"CPR5",0.0483,1.133075,"NO","yeast"
"HNT2",0.08365,1.029575,"NO","yeast"
"YDR306C",0.059975,0.5817,"NO","yeast"
"PMT7",0.13725,0.650575,"NO","yeast"
"SKT5",0.091525,0.859975,"NO","yeast"
"SRB7",0.024125,0.67205,"NO","yeast"
"GIC2",0.108975,0.76205,"YES","yeast"
"SUM1",0.104625,0.842725,"NO","yeast"
"TFB1",0.035,0.780325,"NO","yeast"
"SSF2",0.050125,1.2498,"NO","yeast"
"PIB1",0.102475,0.864925,"NO","yeast"
"RAD34",0.151025,0.73755,"YES","yeast"
"IPK1",0.150775,0.57,"YES","yeast"
"OMS1",0.08675,0.763775,"NO","yeast"
"HIM1",0.12935,1.0034,"NO","yeast"
"YEL1",0.140525,0.744425,"NO","yeast"
"MCM21",0.08035,0.853,"NO","yeast"
"YFT2",0.089075,0.612025,"NO","yeast"
"SWA2",0.169325,0.78405,"YES","yeast"
"ASP1",0.03455,0.7295,"YES","yeast"
"MRPL35",0.084075,0.64725,"YES","yeast"
"TIM11",0.0659,0.609075,"YES","yeast"
"PEP7",0.091025,0.698125,"NO","yeast"
"UTP4",0.04315,0.781975,"NO","yeast"
"YCG1",0.0717,0.846525,"NO","yeast"
"CMC2",0.031175,0.7466,"NO","yeast"
"YSP2",0.0672,0.84885,"NO","yeast"
"SKP1",0.0139,0.5183,"NO","yeast"
"PEX3",0.083275,0.8869,"YES","yeast"
"UBX5",0.06775,0.844925,"YES","yeast"
"GPI8",0.062025,0.7968,"NO","yeast"
