species	Gene_focal
Aedes_aegypti	CG43235
Anopheles_gambiae	CG15888
Anopheles_gambiae	CG43235
Anopheles_gambiae	Osi2
Apis_mellifera	Osi8
Bombyx_mori	Bin1
Bombyx_mori	GstD8
Drosophila_ananassae	AIMP3
Drosophila_ananassae	AP-1mu
Drosophila_ananassae	Ace
Drosophila_ananassae	Ack-like
Drosophila_ananassae	Acox57D-p
Drosophila_ananassae	Acph-1
Drosophila_ananassae	AdamTS-A
Drosophila_ananassae	Adgf-B
Drosophila_ananassae	Adi1
Drosophila_ananassae	Ahcy
Drosophila_ananassae	Ak6
Drosophila_ananassae	AlaRS
Drosophila_ananassae	Alas
Drosophila_ananassae	Ank2
Drosophila_ananassae	Ant2
Drosophila_ananassae	Art1
Drosophila_ananassae	Asap
Drosophila_ananassae	AspRS-m
Drosophila_ananassae	AstA-R2
Drosophila_ananassae	AstCC
Drosophila_ananassae	Atac1
Drosophila_ananassae	B52
Drosophila_ananassae	B9d1
Drosophila_ananassae	BBS1
Drosophila_ananassae	BBS4
Drosophila_ananassae	Bap55
Drosophila_ananassae	Blm
Drosophila_ananassae	Blos2
Drosophila_ananassae	Blos4
Drosophila_ananassae	BuGZ
Drosophila_ananassae	Bug22
Drosophila_ananassae	CG10000
Drosophila_ananassae	CG10050
Drosophila_ananassae	CG10053
Drosophila_ananassae	CG10264
Drosophila_ananassae	CG10306
Drosophila_ananassae	CG10307
Drosophila_ananassae	CG10336
Drosophila_ananassae	CG10338
Drosophila_ananassae	CG10353
Drosophila_ananassae	CG10383
Drosophila_ananassae	CG10399
Drosophila_ananassae	CG10431
Drosophila_ananassae	CG10435
Drosophila_ananassae	CG10505
Drosophila_ananassae	CG10550
Drosophila_ananassae	CG10639
Drosophila_ananassae	CG10795
Drosophila_ananassae	CG10804
Drosophila_ananassae	CG10904
Drosophila_ananassae	CG10907
Drosophila_ananassae	CG11029
Drosophila_ananassae	CG11030
Drosophila_ananassae	CG11052
Drosophila_ananassae	CG11060
Drosophila_ananassae	CG11147
Drosophila_ananassae	CG11164
Drosophila_ananassae	CG11210
Drosophila_ananassae	CG1126
Drosophila_ananassae	CG1136
Drosophila_ananassae	CG11379
Drosophila_ananassae	CG11380
Drosophila_ananassae	CG11381
Drosophila_ananassae	CG11414
Drosophila_ananassae	CG11470
Drosophila_ananassae	CG11475
Drosophila_ananassae	CG11504
Drosophila_ananassae	CG11570
Drosophila_ananassae	CG11585
Drosophila_ananassae	CG11686
Drosophila_ananassae	CG11698
Drosophila_ananassae	CG11722
Drosophila_ananassae	CG11753
Drosophila_ananassae	CG11811
Drosophila_ananassae	CG11816
Drosophila_ananassae	CG11836
Drosophila_ananassae	CG11852
Drosophila_ananassae	CG11880
Drosophila_ananassae	CG11882
Drosophila_ananassae	CG11920
Drosophila_ananassae	CG11964
Drosophila_ananassae	CG12007
Drosophila_ananassae	CG12107
Drosophila_ananassae	CG12159
Drosophila_ananassae	CG12206
Drosophila_ananassae	CG1227
Drosophila_ananassae	CG12338
Drosophila_ananassae	CG12341
Drosophila_ananassae	CG12344
Drosophila_ananassae	CG12398
Drosophila_ananassae	CG12499
Drosophila_ananassae	CG12589
Drosophila_ananassae	CG12594
Drosophila_ananassae	CG12811
Drosophila_ananassae	CG12826
Drosophila_ananassae	CG12909
Drosophila_ananassae	CG12913
Drosophila_ananassae	CG12914
Drosophila_ananassae	CG12945
Drosophila_ananassae	CG12971
Drosophila_ananassae	CG13083
Drosophila_ananassae	CG13101
Drosophila_ananassae	CG13113
Drosophila_ananassae	CG13155
Drosophila_ananassae	CG13159
Drosophila_ananassae	CG1316
Drosophila_ananassae	CG13203
Drosophila_ananassae	CG13204
Drosophila_ananassae	CG13217
Drosophila_ananassae	CG13218
Drosophila_ananassae	CG13220
Drosophila_ananassae	CG13229
Drosophila_ananassae	CG13247
Drosophila_ananassae	CG13280
Drosophila_ananassae	CG13315
Drosophila_ananassae	CG13339
Drosophila_ananassae	CG13359
Drosophila_ananassae	CG13390
Drosophila_ananassae	CG13392
Drosophila_ananassae	CG13531
Drosophila_ananassae	CG13566
Drosophila_ananassae	CG13579
Drosophila_ananassae	CG13589
Drosophila_ananassae	CG13613
Drosophila_ananassae	CG13623
Drosophila_ananassae	CG13653
Drosophila_ananassae	CG13654
Drosophila_ananassae	CG13671
Drosophila_ananassae	CG13707
Drosophila_ananassae	CG13708
Drosophila_ananassae	CG13759
Drosophila_ananassae	CG13760
Drosophila_ananassae	CG13775
Drosophila_ananassae	CG13807
Drosophila_ananassae	CG13847
Drosophila_ananassae	CG13850
Drosophila_ananassae	CG13862
Drosophila_ananassae	CG13996
Drosophila_ananassae	CG14015
Drosophila_ananassae	CG14057
Drosophila_ananassae	CG14142
Drosophila_ananassae	CG14153
Drosophila_ananassae	CG14215
Drosophila_ananassae	CG14257
Drosophila_ananassae	CG14258
Drosophila_ananassae	CG14291
Drosophila_ananassae	CG14292
Drosophila_ananassae	CG14294
Drosophila_ananassae	CG14313
Drosophila_ananassae	CG14339
Drosophila_ananassae	CG14340
Drosophila_ananassae	CG14341
Drosophila_ananassae	CG14407
Drosophila_ananassae	CG14511
Drosophila_ananassae	CG14512
Drosophila_ananassae	CG14516
Drosophila_ananassae	CG14565
Drosophila_ananassae	CG14570
Drosophila_ananassae	CG14572
Drosophila_ananassae	CG14605
Drosophila_ananassae	CG14625
Drosophila_ananassae	CG14626
Drosophila_ananassae	CG14627
Drosophila_ananassae	CG14657
Drosophila_ananassae	CG14658
Drosophila_ananassae	CG14659
Drosophila_ananassae	CG14693
Drosophila_ananassae	CG14710
Drosophila_ananassae	CG14715
Drosophila_ananassae	CG14721
Drosophila_ananassae	CG14722
Drosophila_ananassae	CG14764
Drosophila_ananassae	CG14814
Drosophila_ananassae	CG14868
Drosophila_ananassae	CG14882
Drosophila_ananassae	CG14894
Drosophila_ananassae	CG14921
Drosophila_ananassae	CG14967
Drosophila_ananassae	CG15012
Drosophila_ananassae	CG15019
