species	Gene_focal
Anolis_carolinensis	A2ML1
Anolis_carolinensis	AAGAB
Anolis_carolinensis	AAMDC
Anolis_carolinensis	AAMP
Anolis_carolinensis	AANAT
Anolis_carolinensis	AAR2
Anolis_carolinensis	AASDH
Anolis_carolinensis	AASDHPPT
Anolis_carolinensis	AASS
Anolis_carolinensis	AATF
Anolis_carolinensis	ABCA4
Anolis_carolinensis	ABCB4
Anolis_carolinensis	ABCC2
Anolis_carolinensis	ABCC3
Anolis_carolinensis	ABCC4
Anolis_carolinensis	ABCC8
Anolis_carolinensis	ABCC9
Anolis_carolinensis	ABCD1
Anolis_carolinensis	ABCD3
Anolis_carolinensis	ABCE1
Anolis_carolinensis	ABCG2
Anolis_carolinensis	ABCG4
Anolis_carolinensis	ABCG5
Anolis_carolinensis	ABHD10
Anolis_carolinensis	ABHD12
Anolis_carolinensis	ABHD13
Anolis_carolinensis	ABHD14B
Anolis_carolinensis	ABHD17B
Anolis_carolinensis	ABHD17C
Anolis_carolinensis	ABHD18
Anolis_carolinensis	ABHD2
Anolis_carolinensis	ABI2
Anolis_carolinensis	ABI3
Anolis_carolinensis	ABI3BP
Anolis_carolinensis	ABLIM2
Anolis_carolinensis	ABLIM3
Anolis_carolinensis	ABRA
Anolis_carolinensis	ABRACL
Anolis_carolinensis	ABRAXAS2
Anolis_carolinensis	ABTB1
Anolis_carolinensis	ABTB2
Anolis_carolinensis	AC004233.2
Anolis_carolinensis	AC005670.2
Anolis_carolinensis	AC007240.1
Anolis_carolinensis	AC007326.5
Anolis_carolinensis	AC007906.2
Anolis_carolinensis	AC008575.1
Anolis_carolinensis	AC008687.8
Anolis_carolinensis	AC008695.1
Anolis_carolinensis	AC011462.1
Anolis_carolinensis	AC021072.1
Anolis_carolinensis	AC073610.3
Anolis_carolinensis	AC083902.2
Anolis_carolinensis	AC084337.2
Anolis_carolinensis	AC096582.3
Anolis_carolinensis	AC110275.1
Anolis_carolinensis	AC118470.1
Anolis_carolinensis	AC118549.1
Anolis_carolinensis	AC126283.2
Anolis_carolinensis	AC135050.2
Anolis_carolinensis	AC244197.3
Anolis_carolinensis	ACAD8
Anolis_carolinensis	ACADM
Anolis_carolinensis	ACADS
Anolis_carolinensis	ACAT1
Anolis_carolinensis	ACAT2
Anolis_carolinensis	ACBD4
Anolis_carolinensis	ACBD5
Anolis_carolinensis	ACBD6
Anolis_carolinensis	ACD
Anolis_carolinensis	ACE2
Anolis_carolinensis	ACER2
Anolis_carolinensis	ACIN1
Anolis_carolinensis	ACKR3
Anolis_carolinensis	ACLY
Anolis_carolinensis	ACMSD
Anolis_carolinensis	ACOD1
Anolis_carolinensis	ACOT11
Anolis_carolinensis	ACOT12
Anolis_carolinensis	ACOT13
Anolis_carolinensis	ACOT9
Anolis_carolinensis	ACOX1
Anolis_carolinensis	ACOX2
Anolis_carolinensis	ACOX3
Anolis_carolinensis	ACP1
Anolis_carolinensis	ACP2
Anolis_carolinensis	ACP6
Anolis_carolinensis	ACPP
Anolis_carolinensis	ACSBG1
Anolis_carolinensis	ACSF2
Anolis_carolinensis	ACSF3
Anolis_carolinensis	ACSL3
Anolis_carolinensis	ACSL4
Anolis_carolinensis	ACSL5
Anolis_carolinensis	ACSS3
Anolis_carolinensis	ACTA1
Anolis_carolinensis	ACTA2
Anolis_carolinensis	ACTBL2
Anolis_carolinensis	ACTC1
Anolis_carolinensis	ACTG2
Anolis_carolinensis	ACTL6A
Anolis_carolinensis	ACTN2
Anolis_carolinensis	ACTR1A
Anolis_carolinensis	ACTR3B
Anolis_carolinensis	ACVR1C
Anolis_carolinensis	ACVRL1
Anolis_carolinensis	ACY3
Anolis_carolinensis	ACYP1
Anolis_carolinensis	AD000671.1
Anolis_carolinensis	ADA
Anolis_carolinensis	ADAM10
Anolis_carolinensis	ADAM17
Anolis_carolinensis	ADAM19
Anolis_carolinensis	ADAM2
Anolis_carolinensis	ADAM20
Anolis_carolinensis	ADAM21
Anolis_carolinensis	ADAM29
Anolis_carolinensis	ADAM7
Anolis_carolinensis	ADAM9
Anolis_carolinensis	ADAMTS17
Anolis_carolinensis	ADAMTS19
Anolis_carolinensis	ADAMTS20
Anolis_carolinensis	ADAMTS8
Anolis_carolinensis	ADAMTS9
Anolis_carolinensis	ADAMTSL2
Anolis_carolinensis	ADAR
Anolis_carolinensis	ADARB2
Anolis_carolinensis	ADAT2
Anolis_carolinensis	ADCK2
Anolis_carolinensis	ADCY2
Anolis_carolinensis	ADCY3
Anolis_carolinensis	ADCY4
Anolis_carolinensis	ADCY5
Anolis_carolinensis	ADCY7
Anolis_carolinensis	ADCYAP1
Anolis_carolinensis	ADD1
Anolis_carolinensis	ADD3
Anolis_carolinensis	ADGB
Anolis_carolinensis	ADGRA2
Anolis_carolinensis	ADGRB1
Anolis_carolinensis	ADGRB2
Anolis_carolinensis	ADGRF2
Anolis_carolinensis	ADGRF4
Anolis_carolinensis	ADGRG2
Anolis_carolinensis	ADGRG3
Anolis_carolinensis	ADGRG7
Anolis_carolinensis	ADGRL1
Anolis_carolinensis	ADGRL2
Anolis_carolinensis	ADGRV1
Anolis_carolinensis	ADH7
Anolis_carolinensis	ADIPOR2
Anolis_carolinensis	ADK
Anolis_carolinensis	ADNP
Anolis_carolinensis	ADNP2
Anolis_carolinensis	ADO
Anolis_carolinensis	ADPRHL2
Anolis_carolinensis	ADRB1
Anolis_carolinensis	ADRM1
Anolis_carolinensis	ADTRP
Anolis_carolinensis	AEBP2
Anolis_carolinensis	AES
Anolis_carolinensis	AFF3
Anolis_carolinensis	AFF4
Anolis_carolinensis	AFG3L2
Anolis_carolinensis	AFMID
Anolis_carolinensis	AFTPH
Anolis_carolinensis	AGBL2
Anolis_carolinensis	AGK
Anolis_carolinensis	AGL
Anolis_carolinensis	AGPAT1
Anolis_carolinensis	AGPAT3
Anolis_carolinensis	AGPS
Anolis_carolinensis	AGR2
Anolis_carolinensis	AGT
Anolis_carolinensis	AGTPBP1
Anolis_carolinensis	AGTR1
Anolis_carolinensis	AGTR2
Anolis_carolinensis	AGXT2
Anolis_carolinensis	AHCYL1
Anolis_carolinensis	AHDC1
Anolis_carolinensis	AHI1
Anolis_carolinensis	AHSA1
Anolis_carolinensis	AIDA
Anolis_carolinensis	AIG1
Anolis_carolinensis	AIMP2
Anolis_carolinensis	AJAP1
Anolis_carolinensis	AK3
Anolis_carolinensis	AK4
Anolis_carolinensis	AK5
Anolis_carolinensis	AK7
Anolis_carolinensis	AKAP11
Anolis_carolinensis	AKAP12
Anolis_carolinensis	AKAP14
Anolis_carolinensis	AKAP17A
Anolis_carolinensis	AKAP4
Anolis_carolinensis	AKAP8
Anolis_carolinensis	AKAP9
Anolis_carolinensis	AKIP1
Anolis_carolinensis	AKIRIN2
Anolis_carolinensis	AKNAD1
Anolis_carolinensis	AKR1B15
Anolis_carolinensis	AKT1
Anolis_carolinensis	AL049779.1
Anolis_carolinensis	AL121722.1
Anolis_carolinensis	AL157935.2
Anolis_carolinensis	AL451062.3
Anolis_carolinensis	ALDH1A1
Anolis_carolinensis	ALDH5A1
Anolis_carolinensis	ALDH8A1
Anolis_carolinensis	ALDOA
Anolis_carolinensis	ALG12
Anolis_carolinensis	ALG6
Anolis_carolinensis	ALG8
Anolis_carolinensis	ALK
Anolis_carolinensis	ALKAL2
Anolis_carolinensis	ALKBH5
Anolis_carolinensis	ALKBH7
Anolis_carolinensis	ALOX5AP
Anolis_carolinensis	ALOXE3
Anolis_carolinensis	ALPK1
Anolis_carolinensis	ALPK3
Anolis_carolinensis	ALPP
Anolis_carolinensis	ALS2
Anolis_carolinensis	ALS2CR12
Anolis_carolinensis	ALX1
Anolis_carolinensis	ALX4
Anolis_carolinensis	AMBRA1
Anolis_carolinensis	AMD1
Anolis_carolinensis	AMIGO1
Anolis_carolinensis	AMMECR1L
Anolis_carolinensis	AMN
Anolis_carolinensis	AMPD1
Anolis_carolinensis	AMPD2
Anolis_carolinensis	ANAPC10
Anolis_carolinensis	ANAPC16
Anolis_carolinensis	ANAPC4
Anolis_carolinensis	ANAPC7
Anolis_carolinensis	ANGEL1
Anolis_carolinensis	ANGEL2
Anolis_carolinensis	ANGPT1
Anolis_carolinensis	ANGPT4
Anolis_carolinensis	ANGPTL5
Anolis_carolinensis	ANKDD1B
Anolis_carolinensis	ANKEF1
Anolis_carolinensis	ANKH
Anolis_carolinensis	ANKIB1
Anolis_carolinensis	ANKLE2
Anolis_carolinensis	ANKMY2
Anolis_carolinensis	ANKRA2
Anolis_carolinensis	ANKRD1
Anolis_carolinensis	ANKRD10
Anolis_carolinensis	ANKRD13B
Anolis_carolinensis	ANKRD13D
Anolis_carolinensis	ANKRD16
Anolis_carolinensis	ANKRD2
Anolis_carolinensis	ANKRD22
Anolis_carolinensis	ANKRD23
Anolis_carolinensis	ANKRD26
Anolis_carolinensis	ANKRD29
Anolis_carolinensis	ANKRD31
Anolis_carolinensis	ANKRD37
Anolis_carolinensis	ANKRD40
Anolis_carolinensis	ANKRD42
Anolis_carolinensis	ANKRD46
Anolis_carolinensis	ANKRD6
Anolis_carolinensis	ANKRD66
Anolis_carolinensis	ANKRD9
Anolis_carolinensis	ANKS1A
Anolis_carolinensis	ANKUB1
Anolis_carolinensis	ANKZF1
Anolis_carolinensis	ANLN
Anolis_carolinensis	ANO10
Anolis_carolinensis	ANO2
Anolis_carolinensis	ANO4
Anolis_carolinensis	ANO5
Anolis_carolinensis	ANO6
Anolis_carolinensis	ANO7
Anolis_carolinensis	ANO9
Anolis_carolinensis	ANXA13
Anolis_carolinensis	ANXA3
Anolis_carolinensis	AOAH
Anolis_carolinensis	AOC2
Anolis_carolinensis	AOC3
Anolis_carolinensis	AOX1
Anolis_carolinensis	AP1AR
Anolis_carolinensis	AP1M2
Anolis_carolinensis	AP1S2
Anolis_carolinensis	AP1S3
Anolis_carolinensis	AP2A1
Anolis_carolinensis	AP2A2
Anolis_carolinensis	AP2S1
Anolis_carolinensis	AP3B1
Anolis_carolinensis	AP3M1
Anolis_carolinensis	AP3M2
Anolis_carolinensis	AP3S1
Anolis_carolinensis	AP4S1
Anolis_carolinensis	AP5M1
Anolis_carolinensis	AP5Z1
Anolis_carolinensis	APAF1
Anolis_carolinensis	APBB2
Anolis_carolinensis	APCDD1
Anolis_carolinensis	APEH
Anolis_carolinensis	APEX1
Anolis_carolinensis	APEX2
Anolis_carolinensis	API5
Anolis_carolinensis	APLF
Anolis_carolinensis	APLNR
Anolis_carolinensis	APLP1
Anolis_carolinensis	APLP2
Anolis_carolinensis	APOBEC2
Anolis_carolinensis	APOL1
Anolis_carolinensis	APOL5
Anolis_carolinensis	APPBP2
Anolis_carolinensis	APPL1
Anolis_carolinensis	APRT
Anolis_carolinensis	AQP10
Anolis_carolinensis	AQP2
Anolis_carolinensis	AQP4
Anolis_carolinensis	ARAP3
Anolis_carolinensis	AREL1
Anolis_carolinensis	ARF1
Anolis_carolinensis	ARFGAP1
Anolis_carolinensis	ARFGAP2
Anolis_carolinensis	ARFGAP3
Anolis_carolinensis	ARFGEF1
Anolis_carolinensis	ARFGEF2
Anolis_carolinensis	ARFIP1
Anolis_carolinensis	ARFRP1
Anolis_carolinensis	ARG2
Anolis_carolinensis	ARHGAP1
Anolis_carolinensis	ARHGAP10
Anolis_carolinensis	ARHGAP12
Anolis_carolinensis	ARHGAP15
Anolis_carolinensis	ARHGAP18
Anolis_carolinensis	ARHGAP23
Anolis_carolinensis	ARHGAP24
Anolis_carolinensis	ARHGAP29
Anolis_carolinensis	ARHGAP5
Anolis_carolinensis	ARHGDIB
Anolis_carolinensis	ARHGEF11
Anolis_carolinensis	ARHGEF12
Anolis_carolinensis	ARHGEF25
Anolis_carolinensis	ARHGEF26
Anolis_carolinensis	ARHGEF28
Anolis_carolinensis	ARHGEF33
Anolis_carolinensis	ARHGEF38
Anolis_carolinensis	ARHGEF6
Anolis_carolinensis	ARID1A
Anolis_carolinensis	ARID1B
Anolis_carolinensis	ARID2
Anolis_carolinensis	ARID4A
Anolis_carolinensis	ARID4B
Anolis_carolinensis	ARID5B
Anolis_carolinensis	ARL10
Anolis_carolinensis	ARL14
Anolis_carolinensis	ARL14EP
Anolis_carolinensis	ARL3
Anolis_carolinensis	ARL5B
Anolis_carolinensis	ARL6
Anolis_carolinensis	ARL6IP4
Anolis_carolinensis	ARL6IP5
Anolis_carolinensis	ARL8A
Anolis_carolinensis	ARL8B
Anolis_carolinensis	ARL9
Anolis_carolinensis	ARMC1
Anolis_carolinensis	ARMC12
Anolis_carolinensis	ARMC4
Anolis_carolinensis	ARMC7
Anolis_carolinensis	ARMT1
Anolis_carolinensis	ARNTL
Anolis_carolinensis	ARPC3
Anolis_carolinensis	ARPC5
Anolis_carolinensis	ARRDC3
Anolis_carolinensis	ARSB
Anolis_carolinensis	ARSD
Anolis_carolinensis	ARSI
Anolis_carolinensis	ARSJ
Anolis_carolinensis	ARSK
Anolis_carolinensis	ART4
Anolis_carolinensis	ARTN
Anolis_carolinensis	ARV1
Anolis_carolinensis	ASAP1
Anolis_carolinensis	ASAP2
Anolis_carolinensis	ASB1
Anolis_carolinensis	ASB14
Anolis_carolinensis	ASB15
Anolis_carolinensis	ASB16
Anolis_carolinensis	ASB17
Anolis_carolinensis	ASB5
Anolis_carolinensis	ASCC1
Anolis_carolinensis	ASCL3
Anolis_carolinensis	ASF1B
Anolis_carolinensis	ASH2L
Anolis_carolinensis	ASIC4
Anolis_carolinensis	ASIC5
Anolis_carolinensis	ASMTL
Anolis_carolinensis	ASNA1
Anolis_carolinensis	ASNSD1
Anolis_carolinensis	ASPDH
Anolis_carolinensis	ASPH
Anolis_carolinensis	ASPN
Anolis_carolinensis	ASPSCR1
Anolis_carolinensis	ASTN1
Anolis_carolinensis	ASXL1
Anolis_carolinensis	ASXL3
Anolis_carolinensis	ATAD2
Anolis_carolinensis	ATAD5
Anolis_carolinensis	ATAT1
Anolis_carolinensis	ATE1
Anolis_carolinensis	ATF7
Anolis_carolinensis	ATG10
Anolis_carolinensis	ATG12
Anolis_carolinensis	ATG13
Anolis_carolinensis	ATG14
Anolis_carolinensis	ATG16L1
Anolis_carolinensis	ATG16L2
Anolis_carolinensis	ATG4A
Anolis_carolinensis	ATG4B
Anolis_carolinensis	ATG4D
Anolis_carolinensis	ATG7
Anolis_carolinensis	ATIC
Anolis_carolinensis	ATL3
Anolis_carolinensis	ATN1
Anolis_carolinensis	ATOH1
Anolis_carolinensis	ATOH7
Anolis_carolinensis	ATP10A
Anolis_carolinensis	ATP11A
Anolis_carolinensis	ATP12A
Anolis_carolinensis	ATP1B1
Anolis_carolinensis	ATP2A1
Anolis_carolinensis	ATP2A2
Anolis_carolinensis	ATP2B3
Anolis_carolinensis	ATP2C2
Anolis_carolinensis	ATP4B
Anolis_carolinensis	ATP5F1A
Anolis_carolinensis	ATP5F1C
Anolis_carolinensis	ATP5F1E
Anolis_carolinensis	ATP5MC1
Anolis_carolinensis	ATP5MC2
Anolis_carolinensis	ATP5ME
Anolis_carolinensis	ATP5MPL
Anolis_carolinensis	ATP5PF
Anolis_carolinensis	ATP5PO
Anolis_carolinensis	ATP5S
Anolis_carolinensis	ATP6AP1L
Anolis_carolinensis	ATP6V0B
Anolis_carolinensis	ATP6V0E1
Anolis_carolinensis	ATP6V1B2
Anolis_carolinensis	ATP6V1C2
Anolis_carolinensis	ATP6V1D
Anolis_carolinensis	ATP6V1E1
Anolis_carolinensis	ATP6V1G2-DDX39B
Anolis_carolinensis	ATP6V1G3
Anolis_carolinensis	ATP6V1H
Anolis_carolinensis	ATP8A1
Anolis_carolinensis	ATP8B1
Anolis_carolinensis	ATP9A
Anolis_carolinensis	ATR
Anolis_carolinensis	ATRNL1
Anolis_carolinensis	ATRX
Anolis_carolinensis	ATXN2
Anolis_carolinensis	ATXN3
Anolis_carolinensis	ATXN7L1
Anolis_carolinensis	ATXN7L2
Anolis_carolinensis	ATXN7L3
Anolis_carolinensis	AUH
Anolis_carolinensis	AURKA
Anolis_carolinensis	AURKAIP1
Anolis_carolinensis	AVEN
Anolis_carolinensis	AVIL
Anolis_carolinensis	AVPI1
Anolis_carolinensis	AXDND1
Anolis_carolinensis	AXIN1
Anolis_carolinensis	B3GALT1
Anolis_carolinensis	B3GALT5
Anolis_carolinensis	B3GAT2
Anolis_carolinensis	B3GNT8
Anolis_carolinensis	B3GNT9
Anolis_carolinensis	B3GNTL1
Anolis_carolinensis	B4GALNT2
Anolis_carolinensis	B4GALNT3
Anolis_carolinensis	B4GALNT4
Anolis_carolinensis	B4GALT2
Anolis_carolinensis	B4GALT5
Anolis_carolinensis	BABAM2
Anolis_carolinensis	BACH1
Anolis_carolinensis	BACH2
Anolis_carolinensis	BAG2
Anolis_carolinensis	BAG3
Anolis_carolinensis	BAG6
Anolis_carolinensis	BANK1
Anolis_carolinensis	BARD1
Anolis_carolinensis	BARHL2
Anolis_carolinensis	BARX1
Anolis_carolinensis	BATF
Anolis_carolinensis	BAZ1A
Anolis_carolinensis	BAZ2A
Anolis_carolinensis	BBIP1
Anolis_carolinensis	BBOF1
Anolis_carolinensis	BBS7
Anolis_carolinensis	BCAP29
Anolis_carolinensis	BCAP31
Anolis_carolinensis	BCAS2
Anolis_carolinensis	BCAS4
Anolis_carolinensis	BCAT2
Anolis_carolinensis	BCHE
Anolis_carolinensis	BCKDHA
Anolis_carolinensis	BCL10
Anolis_carolinensis	BCL2L1
Anolis_carolinensis	BCL2L13
Anolis_carolinensis	BCL7A
Anolis_carolinensis	BCLAF1
Anolis_carolinensis	BCLAF3
Anolis_carolinensis	BCOR
Anolis_carolinensis	BCS1L
Anolis_carolinensis	BDNF
Anolis_carolinensis	BEND3
Anolis_carolinensis	BEND4
Anolis_carolinensis	BEND7
Anolis_carolinensis	BEST1
Anolis_carolinensis	BEST2
Anolis_carolinensis	BEST4
Anolis_carolinensis	BFSP2
Anolis_carolinensis	BGN
Anolis_carolinensis	BHLHE22
Anolis_carolinensis	BHLHE40
Anolis_carolinensis	BICD1
Anolis_carolinensis	BICDL1
Anolis_carolinensis	BID
Anolis_carolinensis	BIN2
Anolis_carolinensis	BIRC5
Anolis_carolinensis	BIRC7
Anolis_carolinensis	BLID
Anolis_carolinensis	BLMH
Anolis_carolinensis	BLNK
Anolis_carolinensis	BLZF1
Anolis_carolinensis	BMF
Anolis_carolinensis	BMP2
Anolis_carolinensis	BMP2K
Anolis_carolinensis	BMP5
Anolis_carolinensis	BMP8A
Anolis_carolinensis	BMPER
Anolis_carolinensis	BMPR1B
Anolis_carolinensis	BMPR2
Anolis_carolinensis	BMX
Anolis_carolinensis	BOK
Anolis_carolinensis	BORA
Anolis_carolinensis	BORCS5
Anolis_carolinensis	BPGM
Anolis_carolinensis	BPHL
Anolis_carolinensis	BPIFB6
Anolis_carolinensis	BPNT1
Anolis_carolinensis	BRAF
Anolis_carolinensis	BRAT1
Anolis_carolinensis	BRCA2
Anolis_carolinensis	BRD4
Anolis_carolinensis	BRD7
Anolis_carolinensis	BRDT
Anolis_carolinensis	BRF1
Anolis_carolinensis	BRF2
Anolis_carolinensis	BRI3
Anolis_carolinensis	BRI3BP
Anolis_carolinensis	BRICD5
Anolis_carolinensis	BRIX1
Anolis_carolinensis	BRMS1L
Anolis_carolinensis	BROX
Anolis_carolinensis	BRPF1
Anolis_carolinensis	BRSK2
Anolis_carolinensis	BSND
Anolis_carolinensis	BSX
Anolis_carolinensis	BTBD1
Anolis_carolinensis	BTBD10
Anolis_carolinensis	BTBD11
Anolis_carolinensis	BTBD16
Anolis_carolinensis	BTBD17
Anolis_carolinensis	BTBD19
Anolis_carolinensis	BTBD7
Anolis_carolinensis	BTBD9
Anolis_carolinensis	BTD
Anolis_carolinensis	BTF3
Anolis_carolinensis	BTG2
Anolis_carolinensis	BTK
Anolis_carolinensis	BUB1B
Anolis_carolinensis	BVES
Anolis_carolinensis	BYSL
Anolis_carolinensis	BZW1
Anolis_carolinensis	BZW2
Anolis_carolinensis	C10orf53
Anolis_carolinensis	C10orf67
Anolis_carolinensis	C10orf76
Anolis_carolinensis	C10orf90
Anolis_carolinensis	C11orf1
Anolis_carolinensis	C11orf24
Anolis_carolinensis	C11orf65
Anolis_carolinensis	C11orf70
Anolis_carolinensis	C11orf96
Anolis_carolinensis	C11orf97
Anolis_carolinensis	C12orf29
Anolis_carolinensis	C12orf4
Anolis_carolinensis	C12orf45
Anolis_carolinensis	C12orf56
Anolis_carolinensis	C12orf71
Anolis_carolinensis	C12orf73
Anolis_carolinensis	C13orf42
Anolis_carolinensis	C14orf37
Anolis_carolinensis	C15orf40
Anolis_carolinensis	C15orf41
Anolis_carolinensis	C15orf48
Anolis_carolinensis	C16orf70
Anolis_carolinensis	C17orf62
Anolis_carolinensis	C17orf64
Anolis_carolinensis	C17orf67
