"Gene_focal","Gene_ortho","species","Common Pfam match or OrthoDB group","value focal","value target","property","dataset"
"YPF1","KLTH0D05588g","Lachancea_thermotolerans",FALSE,1764,1170,"CDS length","yeast"
"BNA6","NCAS0F03950","Naumovozyma_castellii",FALSE,888,3039,"CDS length","yeast"
"BNA6","NCAS0F03960","Naumovozyma_castellii",FALSE,888,561,"CDS length","yeast"
"YER010C","TPHA0I02120","Tetrapisispora_phaffii",FALSE,705,2727,"CDS length","yeast"
"YER010C","TPHA0I02130","Tetrapisispora_phaffii",FALSE,705,1608,"CDS length","yeast"
"TIP1","Kpol_1052p16","Vanderwaltozyma_polyspora",FALSE,633,1842,"CDS length","yeast"
"TIP1","Kpol_1052p17","Vanderwaltozyma_polyspora",FALSE,633,987,"CDS length","yeast"
"FRT1","AACERI_AaceriADR352C","Ashbya_aceri",FALSE,1809,765,"CDS length","yeast"
"IML2","AACERI_AaceriAFR104W","Ashbya_aceri",FALSE,2196,1653,"CDS length","yeast"
"YCP4","AGOS_AAR003W","Eremothecium_gossypii",FALSE,744,1743,"CDS length","yeast"
"FRT1","AGOS_ADR352C","Eremothecium_gossypii",FALSE,1809,765,"CDS length","yeast"
"YNL208W","TDEL0A00850","Torulaspora_delbrueckii",FALSE,600,1746,"CDS length","yeast"
"SYF2","KAFR0C01950","Kazachstania_africana",TRUE,648,474,"CDS length","yeast"
"ATF2","ZYRO0B10934g","Zygosaccharomyces_rouxii",FALSE,1608,1605,"CDS length","yeast"
"IML2","AGOS_AFR104W","Eremothecium_gossypii",FALSE,2196,1632,"CDS length","yeast"
"YCP4","AACERI_AaceriAAR003W","Ashbya_aceri",FALSE,744,1740,"CDS length","yeast"
"PML39","Kpol_1069p4","Vanderwaltozyma_polyspora",FALSE,1005,834,"CDS length","yeast"
"YPF1","AACERI_AaceriABL033C","Ashbya_aceri",FALSE,1764,1122,"CDS length","yeast"
"YJL132W","TPHA0B03090","Tetrapisispora_phaffii",FALSE,2253,1314,"CDS length","yeast"
"NPP2","KLTH0H13970g","Lachancea_thermotolerans",FALSE,1482,579,"CDS length","yeast"
"NPP2","KLTH0H13992g","Lachancea_thermotolerans",FALSE,1482,948,"CDS length","yeast"
"POA1","Ecym_3604","Eremothecium_cymbalariae",FALSE,534,4425,"CDS length","yeast"
"POA1","Ecym_3605","Eremothecium_cymbalariae",FALSE,534,4479,"CDS length","yeast"
"AIM34","TPHA0J00460","Tetrapisispora_phaffii",FALSE,597,537,"CDS length","yeast"
"GAL80","Ecym_3166","Eremothecium_cymbalariae",FALSE,1308,483,"CDS length","yeast"
"SPO22","AGOS_ACL031C","Eremothecium_gossypii",FALSE,2928,1845,"CDS length","yeast"
"SPO22","AACERI_AaceriACL031C","Ashbya_aceri",FALSE,2928,1845,"CDS length","yeast"
"YPF1","AGOS_ABL033C","Eremothecium_gossypii",FALSE,1764,1122,"CDS length","yeast"
"INO1","KLTH0F05170g","Lachancea_thermotolerans",FALSE,1602,1044,"CDS length","yeast"
"INO1","KLTH0F05192g","Lachancea_thermotolerans",FALSE,1602,588,"CDS length","yeast"
"EGO2","TBLA0I02450","Tetrapisispora_blattae",FALSE,228,1932,"CDS length","yeast"
"YRO2","AGOS_ABL099W","Eremothecium_gossypii",FALSE,1035,2403,"CDS length","yeast"
"YJL132W","Ecym_5204","Eremothecium_cymbalariae",FALSE,2253,1242,"CDS length","yeast"
"ATF2","AGOS_AAL140C","Eremothecium_gossypii",FALSE,1608,1551,"CDS length","yeast"
"QRI5","NDAI0E04490","Naumovozyma_dairenensis",TRUE,336,456,"CDS length","yeast"
"MFA1","KLLA0_C14894g","Kluyveromyces_lactis",FALSE,111,474,"CDS length","yeast"
"CST9","AGOS_AER061C","Eremothecium_gossypii",FALSE,1449,1278,"CDS length","yeast"
"SSU1","AACERI_AaceriAGR195W","Ashbya_aceri",FALSE,1377,1851,"CDS length","yeast"
"YJL213W","KLLA0_E00309g","Kluyveromyces_lactis",FALSE,996,1509,"CDS length","yeast"
"YJL213W","KLLA0_E00397g","Kluyveromyces_lactis",FALSE,996,2382,"CDS length","yeast"
"MEI4","KLLA0_E04225g","Kluyveromyces_lactis",FALSE,1227,840,"CDS length","yeast"
"MEI4","KLLA0_E04247g","Kluyveromyces_lactis",FALSE,1227,1122,"CDS length","yeast"
"RPL41B","Kpol_2000p7","Vanderwaltozyma_polyspora",FALSE,78,777,"CDS length","yeast"
"CST9","AACERI_AaceriAER061C","Ashbya_aceri",FALSE,1449,1263,"CDS length","yeast"
"AIM4","AGOS_AEL251C","Eremothecium_gossypii",FALSE,372,711,"CDS length","yeast"
"RPL41B","NDAI0A02200","Naumovozyma_dairenensis",FALSE,78,3357,"CDS length","yeast"
"YMR1","KAFR0G00790","Kazachstania_africana",FALSE,2067,465,"CDS length","yeast"
"YJL132W","AGOS_ACR261C","Eremothecium_gossypii",FALSE,2253,1224,"CDS length","yeast"
"ECM14","Ecym_6389","Eremothecium_cymbalariae",FALSE,1293,594,"CDS length","yeast"
