species	Gene_focal
Anolis_carolinensis	AASDH
Anolis_carolinensis	ABCA4
Anolis_carolinensis	ABCC3
Anolis_carolinensis	ABCC4
Anolis_carolinensis	ABCC9
Anolis_carolinensis	ABCD3
Anolis_carolinensis	ABCG2
Anolis_carolinensis	ABI3
Anolis_carolinensis	ABRAXAS2
Anolis_carolinensis	ABTB2
Anolis_carolinensis	AC008575.1
Anolis_carolinensis	AC118549.1
Anolis_carolinensis	ACADM
Anolis_carolinensis	ACOT12
Anolis_carolinensis	ACP2
Anolis_carolinensis	ACSF2
Anolis_carolinensis	ACTR3B
Anolis_carolinensis	ADAMTS17
Anolis_carolinensis	ADAMTS19
Anolis_carolinensis	ADCK2
Anolis_carolinensis	ADD3
Anolis_carolinensis	ADGRA2
Anolis_carolinensis	ADGRB2
Anolis_carolinensis	ADGRG2
Anolis_carolinensis	ADK
Anolis_carolinensis	ADRM1
Anolis_carolinensis	ADTRP
Anolis_carolinensis	AFF3
Anolis_carolinensis	AGK
Anolis_carolinensis	AGR2
Anolis_carolinensis	AIDA
Anolis_carolinensis	AK5
Anolis_carolinensis	AK7
Anolis_carolinensis	AKAP12
Anolis_carolinensis	AKAP17A
Anolis_carolinensis	AKAP9
Anolis_carolinensis	AL049779.1
Anolis_carolinensis	ALG12
Anolis_carolinensis	ALK
Anolis_carolinensis	AMD1
Anolis_carolinensis	AMIGO1
Anolis_carolinensis	AMPD1
Anolis_carolinensis	ANGEL2
Anolis_carolinensis	ANGPT4
Anolis_carolinensis	ANKMY2
Anolis_carolinensis	ANKRD1
Anolis_carolinensis	ANKRD13B
Anolis_carolinensis	ANLN
Anolis_carolinensis	ANO5
Anolis_carolinensis	ANO7
Anolis_carolinensis	AOC2
Anolis_carolinensis	AOX1
Anolis_carolinensis	AP1M2
Anolis_carolinensis	APBB2
Anolis_carolinensis	APPBP2
Anolis_carolinensis	APPL1
Anolis_carolinensis	ARFGAP1
Anolis_carolinensis	ARFGEF1
Anolis_carolinensis	ARHGAP1
Anolis_carolinensis	ARHGAP24
Anolis_carolinensis	ARHGAP29
Anolis_carolinensis	ARHGEF12
Anolis_carolinensis	ARL3
Anolis_carolinensis	ARL8A
Anolis_carolinensis	ARMC1
Anolis_carolinensis	ARMT1
Anolis_carolinensis	ARNTL
Anolis_carolinensis	ARSK
Anolis_carolinensis	ARTN
Anolis_carolinensis	ASB14
Anolis_carolinensis	ASB17
Anolis_carolinensis	ASNA1
Anolis_carolinensis	ASPH
Anolis_carolinensis	ATAT1
Anolis_carolinensis	ATG10
Anolis_carolinensis	ATG12
Anolis_carolinensis	ATG13
Anolis_carolinensis	ATG4A
Anolis_carolinensis	ATG4B
Anolis_carolinensis	ATOH7
Anolis_carolinensis	ATP5MC1
Anolis_carolinensis	ATP6AP1L
Anolis_carolinensis	ATP6V0B
Anolis_carolinensis	ATP6V0E1
Anolis_carolinensis	ATP6V1E1
Anolis_carolinensis	ATP6V1G3
