"species","Gene_focal","Gene_ortho","len_focal","len_ortho","GC_focal","GC_ortho","Same_Cluster","div","diso_focal","diso_ortho","disoPCT_focal","disoPCT_ortho","Hpct_focal","Hpct_ortho","Epct_focal","Epct_ortho","Cpct_focal","Cpct_ortho","Mpct_focal","Mpct_ortho","Epct.1_focal","Epct.1_ortho","Bpct_focal","Bpct_ortho","lc_ortho","lc_focal","tm_focal","tm_ortho"
"Latimeria_chalumnae","AC006978.2","ENSLACG00000014525",36,2514,38.889,42.164,"Same_ortho_clusterFalse",413,12,49,100,5,0,54,0,7,100,38,0,22,100,32,0,44,6.6,0,0,0
"Danio_rerio","AC007906.2","ca8",159,846,61.635,49.291,"Same_ortho_clusterFalse",435,53,29,100,10,0,15,0,24,100,59,0,24,98,40,1,35,0,24.5,0,0
"Lepisosteus_oculatus","AC007906.2","ca8",159,810,61.635,48.519,"Same_ortho_clusterFalse",435,53,12,100,4,0,23,0,25,100,50,0,22,98,34,1,42,0,24.5,0,0
"Anolis_carolinensis","AC007906.2","CA8",159,849,61.635,42.992,"Same_ortho_clusterFalse",312,53,17,100,6,0,14,0,27,100,57,0,26,98,34,1,38,9.5,24.5,0,0
"Canis_familiaris","AC007906.2","CA8",159,873,61.635,47.537,"Same_ortho_clusterFalse",96,53,32,100,10,0,16,0,24,100,59,0,22,98,39,1,38,8.2,24.5,0,0
"Meleagris_gallopavo","AC007906.2","CA8",159,774,61.635,48.191,"Same_ortho_clusterFalse",312,53,1,100,0,0,20,0,26,100,53,0,24,98,36,1,39,0,24.5,0,0
"Taeniopygia_guttata","AC007906.2","CA8",159,774,61.635,47.545,"Same_ortho_clusterFalse",312,53,1,100,0,0,20,0,27,100,51,0,24,98,36,1,38,0,24.5,0,0
"Rattus_norvegicus","AC007906.2","Car8",159,744,61.635,49.328,"Same_ortho_clusterFalse",90,53,31,100,12,0,8,0,32,100,58,0,23,98,40,1,36,9.7,24.5,0,0
"Canis_familiaris","AC007906.2","ENSCAFG00000009708",159,1389,61.635,47.804,"Same_ortho_clusterFalse",96,53,26,100,5,0,19,0,26,100,53,0,21,98,41,1,36,6.5,24.5,0,0
"Latimeria_chalumnae","AC007906.2","ENSLACG00000008766",159,429,61.635,39.627,"Same_ortho_clusterFalse",413,53,3,100,2,0,47,0,13,100,39,0,25,98,44,1,30,0,24.5,0,0
"Danio_rerio","AC007906.2","rab2a",159,639,61.635,47.418,"Same_ortho_clusterFalse",435,53,31,100,14,0,26,0,28,100,44,0,21,98,42,1,36,5.6,24.5,0,0
