"species","Gene_focal","Gene_ortho","len_focal","len_ortho","GC_focal","GC_ortho","Same_Cluster","div","diso_focal","diso_ortho","disoPCT_focal","disoPCT_ortho","Hpct_focal","Hpct_ortho","Epct_focal","Epct_ortho","Cpct_focal","Cpct_ortho","Mpct_focal","Mpct_ortho","Epct.1_focal","Epct.1_ortho","Bpct_focal","Bpct_ortho","lc_ortho","lc_focal","tm_focal","tm_ortho"
"Tetrapisispora_phaffii","PEX18","TPHA0A05190",852,855,37.793,31.228,"Same_ortho_clusterFalse",93,54,54,19,18,17,38,9,5,72,55,20,22,52,50,27,26,0,4.6,0,0
"Tetrapisispora_phaffii","PEX18","TPHA0A05200",852,2976,37.793,39.012,"Same_ortho_clusterFalse",93,54,21,19,2,17,34,9,16,72,48,20,23,52,31,27,45,5.6,4.6,0,0
"Kluyveromyces_lactis","YOL118C","KLLA0_A07271g",309,546,38.188,44.689,"Same_ortho_clusterFalse",112,18,16,17,8,26,22,22,17,51,60,20,21,50,40,29,37,0,0,0,0
"Lachancea_thermotolerans","YHR007C-A","KLTH0G05170g",216,1212,39.352,60.396,"Same_ortho_clusterFalse",112,32,68,44,16,8,34,8,11,83,53,11,21,58,41,30,36,7.2,41.7,30.5555555555556,0
"Lachancea_thermotolerans","YPF1","KLTH0D05588g",1764,1170,36.791,55.128,"Same_ortho_clusterFalse",112,80,10,13,2,53,26,6,25,39,48,18,23,37,31,44,45,7.7,13.8,31.6326530612245,0
"Lachancea_thermotolerans","YPF1","KLTH0D05610g",1764,723,36.791,52.144,"Same_ortho_clusterFalse",112,80,20,13,8,53,22,6,29,39,47,18,21,37,35,44,43,4.6,13.8,31.6326530612245,25.7261410788382
"Kazachstania_naganishii","YKL102C","KNAG0A06530",306,468,42.484,53.632,"Same_ortho_clusterFalse",85,27,14,26,8,16,0,22,17,60,82,17,19,42,58,40,22,0,0,0,0
"Naumovozyma_castellii","BNA6","NCAS0F03950",888,3039,44.369,34.946,"Same_ortho_clusterFalse",66,3,94,1,9,25,62,26,3,47,34,23,22,32,36,43,41,4.4,0,0,0
"Naumovozyma_castellii","BNA6","NCAS0F03960",888,561,44.369,41.711,"Same_ortho_clusterFalse",66,3,46,1,24,25,51,26,1,47,47,23,22,32,50,43,26,18.7,0,0,0
"Kazachstania_africana","YMR242W-A","KAFR0D01610",90,1056,47.778,37.216,"Same_ortho_clusterFalse",85,30,27,100,7,0,21,0,13,100,64,0,21,83,44,16,34,2.8,0,0,0
"Kazachstania_africana","YMR242W-A","KAFR0D01620",90,1020,47.778,34.51,"Same_ortho_clusterFalse",85,30,113,100,33,0,19,0,12,100,67,0,13,83,60,16,26,5.3,0,0,0
"Kazachstania_africana","YMR242W-A","KAFR0B03560",90,1038,47.778,36.416,"Same_ortho_clusterFalse",85,30,17,100,4,0,60,0,3,100,36,0,21,83,37,16,41,12.1,0,0,24.2774566473988
"Eremothecium_cymbalariae","YCL042W","Ecym_1037",360,1101,51.667,47.139,"Same_ortho_clusterFalse",112,47,93,39,25,20,13,5,20,74,65,7,18,76,47,15,33,7.4,5.8,0,0
"Tetrapisispora_phaffii","YLR255C","TPHA0B03620",354,1032,47.175,29.845,"Same_ortho_clusterFalse",93,44,9,37,2,27,37,14,17,58,44,13,25,53,28,33,45,4.1,15.3,0,0
"Vanderwaltozyma_polyspora","YDR169C-A","Kpol_1036p95",150,786,42.667,37.659,"Same_ortho_clusterFalse",93,50,262,100,100,42,20,0,2,58,77,4,7,78,78,18,13,18.7,0,0,0
