seq_id  alignment_start alignment_end envelope_start envelope_end hmm_acc hmm_name type hmm_start hmm_end hmm_length bit_score E-value significance clan
AC018554.3	         79    283     78    288 PF15229.5   POM121            Family     2   210   232     88.2   6.1e-25   1 No_clan  
ACD	              97    203     97    203 PF10341.8   TPP1              Family     1   108   108     63.6   1.4e-17   1 No_clan  
ACD	              97    206     97    206 PF10341.8   TPP1              Family     1   108   108     69.9   1.5e-19   1 No_clan  
ACD	              11    117     11    117 PF10341.8   TPP1              Family     1   108   108     64.0     1e-17   1 No_clan  
ACD	              11    120     11    120 PF10341.8   TPP1              Family     1   108   108     70.4   1.1e-19   1 No_clan  
ADIG	                1     42      1     47 PF15202.5   Adipogenin        Family     1    43    79     82.3   1.7e-23   1 No_clan  
ADIG	              1     78      1     78 PF15202.5   Adipogenin        Family     1    79    79    168.8   1.8e-50   1 No_clan  
ADIG	              2     60      1     60 PF15202.5   Adipogenin        Family    20    79    79    116.1   4.8e-34   1 No_clan  
ADM2	              100    148     55    148 PF00214.18  Calc_CGRP_IAPP    Family    71   117   121     29.9   5.5e-07   1 No_clan  
ADM	                 1    151      1    151 PF00214.18  Calc_CGRP_IAPP    Family     1   121   121    105.8   1.7e-30   1 No_clan  
ADM	               1     63      1     80 PF00214.18  Calc_CGRP_IAPP    Family     1    69   121     35.8   7.8e-09   1 No_clan  
ADM	               1     86      1    100 PF00214.18  Calc_CGRP_IAPP    Family     1    71   121     35.3   1.1e-08   1 No_clan  
ADM	              23     83      7     83 PF00214.18  Calc_CGRP_IAPP    Family    78   121   121     67.3   1.4e-18   1 No_clan  
ADM	              34    104     10    104 PF00214.18  Calc_CGRP_IAPP    Family    65   121   121     68.8   4.7e-19   1 No_clan  
ADO	                57    268     57    268 PF07847.11  PCO_ADO           Family     1   201   201    223.2     2e-66   1 CL0029   
ALKAL1	             59    109     48    111 PF15129.5   FAM150            Family    56   106   125     91.5   4.1e-26   1 No_clan  
ALKAL1	           59    128     49    128 PF15129.5   FAM150            Family    56   125   125    135.4     1e-39   1 No_clan  
APLN	               25     77     23     77 PF15360.5   Apelin            Family     3    55    55     99.0   1.5e-28   1 No_clan  
APOA5	              60    162     55    162 PF01442.17  Apolipoprotein    Domain     2   108   194    106.8   1.2e-30   1 No_clan  
APOA5	            60    261     56    266 PF01442.17  Apolipoprotein    Domain     2   189   194    195.6   7.3e-58   1 No_clan  
APOA5	           273    316    264    351 PF01442.17  Apolipoprotein    Domain    34    77   194      9.2         1   1 No_clan  
APOC3	              22     55     22     55 PF05778.11  Apo-CIII          Family     1    34    69     56.5   1.4e-15   1 No_clan  
APOC3	            22     90     22     90 PF05778.11  Apo-CIII          Family     1    69    69    133.2   1.7e-39   1 No_clan  
APOC3	            40    108     40    108 PF05778.11  Apo-CIII          Family     1    69    69    132.5   2.8e-39   1 No_clan  
ASB17	             253    292    253    294 PF07525.15  SOCS_box          Domain     1    34    35     37.1   2.8e-09   1 CL0642   
B3GNTL1	          21    192     21    193 PF00535.25  Glycos_transf_2   Family     1   169   170     82.1   3.7e-23   1 CL0110   
B3GNTL1	          21    192     21    193 PF00535.25  Glycos_transf_2   Family     1   169   170     82.1   3.7e-23   1 CL0110   
BCAS2	              12    215     11    216 PF05700.10  BCAS2             Family     2   205   206    273.4   1.1e-81   1 No_clan  
BCAS3	           293    548    292    552 PF12490.7   BCAS3             Family     2   233   240     92.2   3.1e-26   1 No_clan  
BCAS3	           348    563    292    567 PF12490.7   BCAS3             Family    40   233   240     87.0   1.2e-24   1 No_clan  
BCAS3	           522    777    521    781 PF12490.7   BCAS3             Family     2   233   240     91.4   5.5e-26   1 No_clan  
BCAS3	           522    777    521    781 PF12490.7   BCAS3             Family     2   233   240     91.4   5.8e-26   1 No_clan  
BCAS3_10	          522    777    521    781 PF12490.7   BCAS3             Family     2   233   240     91.4   5.7e-26   1 No_clan  
BCAS3_11	          577    792    521    796 PF12490.7   BCAS3             Family    40   233   240     86.3   2.1e-24   1 No_clan  
BCAS3_12	          577    792    521    796 PF12490.7   BCAS3             Family    40   233   240     86.2   2.2e-24   1 No_clan  
C10orf53	            1     89      1     89 PF15092.5   UPF0728           Family     1    88    88    134.2   9.6e-40   1 No_clan  
C10orf53	          1     74      1     84 PF15092.5   UPF0728           Family     1    73    88    105.4   9.7e-31   1 No_clan  
C10orf53	          1     74      1     85 PF15092.5   UPF0728           Family     1    73    88    107.4   2.2e-31   1 No_clan  
C11orf1	            25    142     15    142 PF06608.10  DUF1143           Family     8   125   148    248.6   1.9e-74   1 No_clan  
C11orf1	           3     92      2    116 PF06608.10  DUF1143           Family     2    91   148    191.3   8.4e-57   1 No_clan  
C11orf1	           3    149      2    149 PF06608.10  DUF1143           Family     2   148   148    315.2   5.5e-95   1 No_clan  
C11orf1	          49    189     40    189 PF06608.10  DUF1143           Family     8   148   148    296.7   2.7e-89   1 No_clan  
C11orf1	           1    103      1    103 PF06608.10  DUF1143           Family    46   148   148    222.9   1.6e-66   1 No_clan  
C11orf42	            3    332      1    332 PF15668.4   DUF4663           Family     3   340   340    460.3  3.4e-138   1 No_clan  
C11orf96	         14    118     14    118 PF15766.4   DUF4695           Family     1   108   108    181.6   3.4e-54   1 No_clan  
C11orf96	        327    431    327    431 PF15766.4   DUF4695           Family     1   108   108    177.1   8.1e-53   1 No_clan  
C12orf56	            1    148      1    173 PF15087.5   DUF4551           Family     4   149   617    191.6   2.8e-56   1 No_clan  
C12orf56	         11    620     11    620 PF15087.5   DUF4551           Family     1   617   617    752.4  4.6e-226   1 No_clan  
C12orf56	         11    154     11    159 PF15087.5   DUF4551           Family     1   142   617    188.8   1.9e-55   1 No_clan  
C12orf56	        153    460    149    460 PF15087.5   DUF4551           Family   306   617   617    429.2  3.1e-128   1 No_clan  
C12orf71	           15    176     15    176 PF15480.5   DUF4640           Family     1   167   292    248.4   1.4e-73   1 No_clan  
C12orf71	          169    261    169    261 PF15480.5   DUF4640           Family   200   292   292    119.3   2.8e-34   1 No_clan  
C14orf37	           28    610     28    610 PF15767.4   DUF4696           Family     1   583   583    993.1  3.8e-299   1 No_clan  
C14orf37	          2     84      1     84 PF15767.4   DUF4696           Family   500   583   583    151.6   2.7e-44   1 No_clan  
C17orf47	            2    534      2    534 PF15548.5   DUF4655           Family     1   534   534    881.8  2.1e-265   1 No_clan  
C19orf24	         69    129     62    132 PF06679.11  DUF1180           Family    98   165   169     35.7   9.8e-09   1 No_clan  
C19orf47	           28     70     24     72 PF07647.16  SAM_2             Domain    21    64    66     20.9   0.00027   1 CL0003   
C19orf47	         65    107     60    109 PF07647.16  SAM_2             Domain    21    64    66     21.0   0.00025   1 CL0003   
C19orf47	         38     80     34     82 PF07647.16  SAM_2             Domain    21    64    66     20.9   0.00027   1 CL0003   
C19orf57	          1    131      1    132 PF15710.4   DUF4671           Family     1   131   667    234.8   2.6e-69   1 No_clan  
C19orf57	        132    243    131    243 PF15710.4   DUF4671           Family   556   667   667    226.7   7.2e-67   1 No_clan  
C19orf57	          1    588      1    589 PF15710.4   DUF4671           Family     1   587   667    892.6  2.2e-268   1 No_clan  
C19orf57	        589    637    588    637 PF15710.4   DUF4671           Family   619   667   667     91.6   5.4e-26   1 No_clan  
C19orf57	          1    668      1    668 PF15710.4   DUF4671           Family     1   667   667   1093.2         0   1 No_clan  
C19orf57	          2    117      1    124 PF15710.4   DUF4671           Family   474   589   667    180.0     1e-52   1 No_clan  
C19orf57	          3    287      1    292 PF15710.4   DUF4671           Family   300   590   667    428.9  4.5e-128   1 No_clan  
C19orf57	          7     38      5     39 PF15710.4   DUF4671           Family   556   587   667     34.9   8.2e-09   1 No_clan  
C19orf57	         39     87     38     87 PF15710.4   DUF4671           Family   619   667   667     96.6   1.7e-27   1 No_clan  
C19orf81	           23    181     23    181 PF15876.4   DUF4732           Family     1   159   159    343.3    2e-103   1 No_clan  
C19orf81	          1    155      1    155 PF15876.4   DUF4732           Family     5   159   159    335.5    5e-101   1 No_clan  
C1orf105	         17    182     17    182 PF15081.5   DUF4548           Family     1   167   167    333.3  2.2e-100   1 No_clan  
C1orf105	          6    172      6    172 PF15081.5   DUF4548           Family     1   167   167    278.0   2.2e-83   1 No_clan  
C1orf105	          1    110      1    113 PF15081.5   DUF4548           Family    14   124   167    206.2   2.6e-61   1 No_clan  
C1orf115	           65    135     63    135 PF15828.4   DUF4710           Family     3    77    77    102.8   7.5e-30   1 No_clan  
C1orf116	           33    601     33    601 PF15385.5   SARG              Family     1   560   560    831.4  5.2e-250   1 No_clan  
C1orf116	          1    355      1    355 PF15385.5   SARG              Family   219   560   560    527.6  5.7e-158   1 No_clan  
C1orf127	          151    365    151    365 PF15094.5   DUF4556           Family     1   215   215    402.6  2.7e-121   1 No_clan  
C1orf127	          4    200      4    200 PF15094.5   DUF4556           Family     1   215   215    345.6  7.7e-104   1 No_clan  
C1orf127	        129    343    129    343 PF15094.5   DUF4556           Family     1   215   215    402.8  2.4e-121   1 No_clan  
C1orf141	            1     78      1     79 PF15078.5   DUF4545           Family     1    78   465    119.6   1.6e-34   1 No_clan  
C1orf141	          1    195      1    195 PF15078.5   DUF4545           Family     1   195   465    314.1   1.7e-93   1 No_clan  
C1orf141	          1    287      1    288 PF15078.5   DUF4545           Family     1   288   465    482.1  1.9e-144   1 No_clan  
C1orf141	          1    213      1    216 PF15078.5   DUF4545           Family     1   213   465    332.3   4.9e-99   1 No_clan  
C1orf141	          1    115      1    116 PF15078.5   DUF4545           Family     1   115   465    181.6   2.6e-53   1 No_clan  
C1orf141	        113    391    110    391 PF15078.5   DUF4545           Family   184   465   465    477.3  5.3e-143   1 No_clan  
C1orf141	          1    114      1    117 PF15078.5   DUF4545           Family     1   114   465    186.0   1.2e-54   1 No_clan  
C1orf174	            6    237      6    237 PF15772.4   UPF0688           Family     1   233   233    381.1  2.8e-114   1 No_clan  
C1orf54	             1    129      1    129 PF15465.5   DUF4634           Family     1   130   130    242.2   1.3e-72   1 No_clan  
C1orf54	           1    101      1    113 PF15465.5   DUF4634           Family     1   101   130    187.3   1.2e-55   1 No_clan  
C1orf56	            24    336     23    336 PF15322.5   PMSI1             Family     2   308   308    529.8  2.1e-159   1 No_clan  
C20orf196	          48    200     48    200 PF15021.5   DUF4521           Family     1   154   204    252.9   2.5e-75   1 No_clan  
C20orf196	         1    121      1    121 PF15021.5   DUF4521           Family     1   122   204    179.7   6.5e-53   1 No_clan  
C20orf196	         1    203      1    203 PF15021.5   DUF4521           Family     1   204   204    360.2  3.4e-108   1 No_clan  
C20orf196	         1     59      1     61 PF15021.5   DUF4521           Family     1    59   204     79.6   2.9e-22   1 No_clan  
C22orf31	            2    263      2    263 PF15578.5   DUF4662           Family     1   269   269    515.3  3.9e-155   1 No_clan  
C22orf46	           25    237     25    237 PF15856.4   DUF4727           Family     1   215   215    385.3  6.8e-116   1 No_clan  
C2orf74	            39    194     39    194 PF15484.5   DUF4642           Family     1   155   155    261.1   3.4e-78   1 No_clan  
C2orf74	          39    187     39    187 PF15484.5   DUF4642           Family     1   155   155    226.3   1.7e-67   1 No_clan  
C2orf74	           1     28      1     28 PF15484.5   DUF4642           Family    42    69   155     37.7   2.1e-09   1 No_clan  
C2orf74	           1    115      1    115 PF15484.5   DUF4642           Family    42   155   155    197.3   1.6e-58   1 No_clan  
C2orf88	             1     30      1     30 PF15127.5   SmAKAP            Family     1    30    98     39.5   9.3e-10   1 No_clan  
C2orf88	           1     67      1     68 PF15127.5   SmAKAP            Family     1    71    98     88.2   5.8e-25   1 No_clan  
C2orf88	           1     94      1     94 PF15127.5   SmAKAP            Family     1    98    98    149.1     6e-44   1 No_clan  
C4orf17	            27    223     27    223 PF15256.5   SPATIAL           Family     1   199   199    194.6   2.1e-57   1 No_clan  
C4orf17	          27    223     27    223 PF15256.5   SPATIAL           Family     1   199   199    195.4   1.2e-57   1 No_clan  
C4orf17	          27    182     27    185 PF15256.5   SPATIAL           Family     1   158   199    111.4   6.7e-32   1 No_clan  
C4orf19	           9    314      9    314 PF15770.4   DUF4699           Family     1   310   310    482.0  9.6e-145   1 No_clan  
C4orf22	             1     74      1     74 PF14713.5   DUF4464           Family   149   223   223     96.7   1.3e-27   1 No_clan  
C4orf22	          13    111     12    113 PF14713.5   DUF4464           Family     2   101   223    102.9   1.7e-29   1 No_clan  
C4orf22	         121    249    111    249 PF14713.5   DUF4464           Family    94   223   223    192.1   8.9e-57   1 No_clan  
C4orf22	          13    112     12    115 PF14713.5   DUF4464           Family     2   102   223    105.7   2.3e-30   1 No_clan  
C4orf22	          13    232     12    232 PF14713.5   DUF4464           Family     2   223   223    309.1   1.5e-92   1 No_clan  
C4orf22	          13     80     12     86 PF14713.5   DUF4464           Family     2    69   223     74.9   6.2e-21   1 No_clan  
C4orf45	            19    133     19    133 PF15123.5   DUF4562           Family     1   115   115    194.5   3.6e-58   1 No_clan  
C4orf50	             2    274      2    274 PF15030.5   DUF4527           Family     1   276   276    484.9  6.6e-146   1 No_clan  
C4orf50	        1234   1506   1234   1506 PF15030.5   DUF4527           Family     1   276   276    479.0  4.2e-144   1 No_clan  
C4orf50	         574    846    574    846 PF15030.5   DUF4527           Family     1   276   276    480.5  1.5e-144   1 No_clan  
C4orf51	             1    168      1    168 PF15849.4   DUF4722           Family     1   167   167    327.1   1.7e-98   1 No_clan  
C5orf49	            42    133     42    133 PF15074.5   DUF4541           Family     1    92    92    131.0   1.8e-38   1 No_clan  
C5orf49	          42    131     42    131 PF15074.5   DUF4541           Family     1    92    92    120.7   2.8e-35   1 No_clan  
C6orf222	           14    652     14    652 PF15661.4   CF222             Family     1   648   648   1100.8         0   1 No_clan  
